phrase,english
湯圓,sweet dumplings (glutinous rice balls)
肉鬆,dried pork floss
油條,deep-fried dough sticks
蛋餅,egg pancake
掛包,braised pork belly bun
,
饺子,dumplings
鍋貼,potstickers
,
米饭,steamed rice
面条,noodles
包子,steamed buns
春卷,spring rolls
炒饭,fried rice
炒面,stir-fried noodles
粥,congee
豆腐,tofu
红烧肉,braised pork belly
宫保鸡丁,kung pao chicken
麻婆豆腐,mapo tofu
鱼香肉丝,fish-flavored shredded pork
糖醋里脊,sweet and sour pork
烤鸭,roast duck
牛肉面,beef noodle soup
酸辣汤,hot and sour soup
狮子头,meatball stew
锅贴,potstickers
馄饨,wonton
烧卖,shumai
叉烧,barbecued pork
咸蛋,salted duck egg
皮蛋,preserved egg
花卷,steamed twisted rolls
油条,deep-fried dough sticks
豆浆,soy milk
粽子,sticky rice dumpling
糯米鸡,sticky rice chicken
萝卜糕,turnip cake
蛋炒饭,egg fried rice
西红柿炒蛋,tomato scrambled eggs
蒸鱼,steamed fish
清蒸虾,steamed shrimp
烤鱼,grilled fish
辣子鸡,spicy chicken
水煮鱼,boiled fish in chili oil
鱼丸,fish balls
牛肉,beef
猪肉,pork
鸡肉,chicken
羊肉,lamb
鸭肉,duck
虾,shrimp
蟹,crab
龙虾,lobster
田鸡,frog
鹌鹑,quail
鹦鹉螺,nautilus
鲍鱼,abalone
海参,sea cucumber
海带,kelp
紫菜,seaweed
豆皮,tofu skin
豆芽,bean sprouts
青菜,greens
菠菜,spinach
白菜,Chinese cabbage
油麦菜,romaine lettuce
芥兰,Chinese broccoli
西兰花,broccoli
胡萝卜,carrot
土豆,potato
南瓜,pumpkin
茄子,eggplant
西葫芦,zucchini
黄瓜,cucumber
番茄,tomato
辣椒,chili pepper
洋葱,onion
蒜,garlic
姜,ginger
香菇,shiitake mushroom
木耳,black fungus
杏鲍菇,king oyster mushroom
金针菇,enoki mushroom
玉米,corn
豌豆,peas
花生,peanut
核桃,walnut
腰果,cashew
杏仁,almond
葡萄,grape
苹果,apple
香蕉,banana
橙子,orange
柚子,grapefruit
西瓜,watermelon
哈密瓜,hami melon
草莓,strawberry
樱桃,cherry
菠萝,pineapple
芒果,mango
猕猴桃,kiwi
荔枝,lychee
龙眼,longan
榴莲,durian
椰子,coconut
