phrase,english
吃,eat
喝,drink
走,walk
跑,run
看,see
听,hear
说,speak
写,write
读,read
买,buy
卖,sell
做,do
工作,work
学习,study
教,teach
问,ask
答,answer
想,think
知道,know
理解,understand
记,remember
忘,forget
打开,open
关闭,close
开始,start
结束,end
睡,sleep
醒,wake
坐,sit
站,stand
跳,jump
游泳,swim
飞,fly
骑,ride
开,drive
停,stop
等,wait
帮助,help
喜欢,like
爱,love
讨厌,hate
需要,need
希望,hope
担心,worry
相信,believe
尝试,try
改变,change
决定,decide
选择,choose
接受,accept
拒绝,refuse
发送,send
收到,receive
带,bring
拿,take
放,put
丢,lose
找到,find
修理,fix
建造,build
破坏,destroy
保护,protect
洗,wash
擦,wipe
刷,brush
剪,cut
画,draw
拍照,take photos
录音,record
唱歌,sing
跳舞,dance
笑,laugh
哭,cry
喊,shout
打,hit
踢,kick
抱,hug
亲吻,kiss
碰,touch
闻,smell
尝,taste
付,pay
借,borrow
还,return
租,rent
送,give
收,collect
分,divide
合,combine
增加,increase
减少,decrease
成长,grow
缩小,shrink
扩展,expand
缩短,shorten
延长,extend
搬,move
推,push
拉,pull
扔,throw
抓,catch
捡,pick up
掉,drop
掉落,fall
升,raise
降,lower
翻,turn over
滚,roll
滑,slide
爬,climb
藏,hide
找,search
展示,show
展示,display
演,perform
玩,play
休息,rest
旅行,travel
参观,visit
参加,attend
组织,organize
计划,plan
预订,book
预约,make appointment
通知,notify
提醒,remind
报告,report
评论,comment
讨论,discuss
解释,explain
描述,describe
表达,express
代表,represent
管理,manage
领导,lead
控制,control
监督,supervise
检查,check
测试,test
评估,evaluate
审查,review
批准,approve
拒绝,deny
保存,save
删除,delete
编辑,edit
复制,copy
粘贴,paste
打印,print
扫描,scan
连接,connect
断开,disconnect
安装,install
卸载,uninstall
升级,upgrade
下载,download
上传,upload
搜索,search
浏览,browse
订阅,subscribe
取消,unsubscribe
注册,register
登录,log in
登出,log out
退出,exit
进入,enter
离开,leave
返回,return
转,turn
改变,change
保持,keep
丢失,lose
获得,get
拥有,own
占有,possess
分享,share
分配,assign
分发,distribute
