hanzi,trad,simp,pinyin,toneless,tone,zhuyin
瓴,瓴,瓴,líng,ling,2,ㄌㄧㄥ
粅,粅,粅,wù,wu,4,ㄨ
籫,籫,籫,zuǎn,zuan,3,ㄗㄨㄢ
鿑,鿑,鿑,鿑,鿑,,
朣,朣,朣,tóng,tong,2,ㄊㄨㄥ
㶓,㶓,㶓,cáng,cang,2,ㄘㄤ
署,署,署,shǔ,shu,3,ㄕㄨ
殻,殻,殻,què,que,4,ㄑㄩㄝ
蛱,蛺,蛱,jiá,jia,2,ㄐㄧㄚ
䢽,䢽,䢽,xiàng,xiang,4,ㄒㄧㄤ
纉,纉,纉,zuǎn,zuan,3,ㄗㄨㄢ
導,導,导,dǎo,dao,3,ㄉㄠ
窻,窻,窻,chuāng,chuang,1,ㄔㄨㄤ
螉,螉,螉,wēng,weng,1,ㄨㄥ
黰,黰,黰,zhěn,zhen,3,ㄓㄣ
鑥,鑥,镥,lǔ,lu,3,ㄌㄨ
呟,呟,呟,quǎn,quan,3,ㄑㄩㄢ
薇,薇,薇,wéi,wei,2,ㄨㄟ
錙,錙,锱,zī,zi,1,ㄗ
蛴,蠐,蛴,qí,qi,2,ㄑㄧ
䵱,䵱,䵱,hè,he,4,ㄏㄜ
虴,虴,虴,zhé,zhe,2,ㄓㄜ
㝙,㝙,㝙,yín,yin,2,ㄧㄣ
嵉,嵉,嵉,tíng,ting,2,ㄊㄧㄥ
獕,獕,獕,cūi,cui,1,ㄘㄨㄟ
䉾,䉾,䉾,mì,mi,4,ㄇㄧ
㯀,㯀,㯀,xiǎn,xian,3,ㄒㄧㄢ
欿,欿,欿,kǎn,kan,3,ㄎㄢ
䂡,䂡,䂡,dǐ,di,3,ㄉㄧ
刏,刏,刏,jī,ji,1,ㄐㄧ
脨,脨,脨,cù,cu,4,ㄘㄨ
鄣,鄣,鄣,zhāng,zhang,1,ㄓㄤ
槚,檟,槚,jiǎ,jia,3,ㄐㄧㄚ
堑,塹,堑,qiàn,qian,4,ㄑㄧㄢ
㢇,㢇,㢇,㢇,㢇,,
咮,咮,咮,zhòu,zhou,4,ㄓㄡ
僛,僛,僛,qī,qi,1,ㄑㄧ
欵,欵,欵,kuǎn,kuan,3,ㄎㄨㄢ
轧,軋,轧,yà,ya,4,ㄧㄚ
隶,隸,隶,lì,li,4,ㄌㄧ
录,錄,录,lù,lu,4,ㄌㄨ
廸,廸,廸,dí,di,2,ㄉㄧ
貋,貋,貋,hàn,han,4,ㄏㄢ
䤖,䤖,䤖,bào,bao,4,ㄅㄠ
诩,詡,诩,xǔ,xu,3,ㄒㄩ
崨,崨,崨,jié,jie,2,ㄐㄧㄝ
憣,憣,憣,fán,fan,2,ㄈㄢ
镑,鎊,镑,bàng,bang,4,ㄅㄤ
㼊,㼊,㼊,tún,tun,2,ㄊㄨㄣ
孲,孲,孲,yā,ya,1,ㄧㄚ
逓,逓,逓,dì,di,4,ㄉㄧ
饍,饍,饍,shàn,shan,4,ㄕㄢ
鄤,鄤,鄤,màn,man,4,ㄇㄢ
㲽,㲽,㲽,niàn,nian,4,ㄋㄧㄢ
睕,睕,睕,wǎn,wan,3,ㄨㄢ
匲,匲,匲,lián,lian,2,ㄌㄧㄢ
撮,撮,撮,cuō,cuo,1,ㄘㄨㄛ
㤘,㤘,㤘,chù,chu,4,ㄔㄨ
筥,筥,筥,jǔ,ju,3,ㄐㄩ
旻,旻,旻,mín,min,2,ㄇㄧㄣ
卮,卮,卮,zhī,zhi,1,ㄓ
崯,崯,崯,yín,yin,2,ㄧㄣ
褦,褦,褦,nài,nai,4,ㄋㄞ
儢,儢,儢,lǚ,lü,3,ㄌㄩ
㤤,㤤,㤤,yú,yu,2,ㄩ
粈,粈,粈,rǒu,rou,3,ㄖㄡ
靽,靽,靽,bàn,ban,4,ㄅㄢ
㡡,㡡,㡡,chú,chu,2,ㄔㄨ
䰉,䰉,䰉,pán,pan,2,ㄆㄢ
憮,憮,怃,wǔ,wu,3,ㄨ
苬,苬,苬,qíu,qiu,2,ㄑㄧㄡ
鄱,鄱,鄱,pó,po,2,ㄆㄛ
窋,窋,窋,zhú,zhu,2,ㄓㄨ
颒,頮,颒,hùi,hui,4,ㄏㄨㄟ
㞓,㞓,㞓,qǐ,qi,3,ㄑㄧ
賳,賳,賳,zāi,zai,1,ㄗㄞ
恐,恐,恐,kǒng,kong,3,ㄎㄨㄥ
犄,犄,犄,jī,ji,1,ㄐㄧ
葳,葳,葳,wēi,wei,1,ㄨㄟ
忧,憂,忧,yōu,you,1,ㄧㄡ
婏,婏,婏,fù,fu,4,ㄈㄨ
䗻,䗻,䗻,jié,jie,2,ㄐㄧㄝ
仢,仢,仢,dí,di,2,ㄉㄧ
碓,碓,碓,dùi,dui,4,ㄉㄨㄟ
嶾,嶾,嶾,yǐn,yin,3,ㄧㄣ
濙,濙,濙,yíng,ying,2,ㄧㄥ
攋,攋,攋,là,la,4,ㄌㄚ
劌,劌,刿,gùi,gui,4,ㄍㄨㄟ
