phrase,english,pinyin,comments
弱,weak,ruò,
醜,ugly,chǒu,
笨,stupid,bèn,
舊,old,jìu,
壞,bad,huài,
安靜,quiet,ān jìng,
吵,noisy,chǎo,
危險,dangerous,wēi xiǎn,
安全,safe,ān quán,
有趣,interesting,yǒu qù,
無聊,boring,wú liáo,
重,heavy,zhòng,
輕,light,qīng,
酸,sour,suān,
深,deep,shēn,
淺,shallow,qiǎn,
複雜,complex,fù zá,
簡單,simple,jiǎn dān,
睏難,difficult,kùn nán,
重要,important,zhòng yào,
特別,special,tè bié,
普遍,common,pǔ biàn,
明顯,obvious,míng xiǎn,
隱藏,hidden,yǐn cáng,
詳細,detailed,xiáng xì,
模糊,vague,mó hú,
強,strong,qiáng,
特別,special,tè bié,
