phrase,english,pinyin
你,"you, second person pronoun",nǐ
好,"good, excellent, fine; well",hǎo
再見,,zài jiàn
再,"again, twice, re-",zài
見,"see, observe, behold; perceive",jiàn
三,three,sān
一,"one; a, an; alone",yī
七,seven,qī
八,"eight; all around, all sides",bā
十,"ten, tenth; complete; perfect",shí
零,"zero; fragment, fraction",líng
元,first; dollar; origin; head,yuán
五,five; surname,wǔ
九,nine,jiǔ
百,"one hundred; numerous, many",bǎi
叫,"cry, shout; hail, greet, call",jiào
我,"our, us, i, me, my, we",wǒ
張,"stretch, extend, expand; sheet",zhāng
李,plum; judge; surname,lǐ
華,flowery; illustrious; Chinese,huá
明,"bright, light, brilliant; clear",míng
名字,,míng zì
什麼,,shén me
名,"name, rank, title, position",míng
字,"letter, character, simplified",zì
很,"very, quite, much",hěn
高興,,gāo xìng
高,"high, tall; lofty, elevated",gāo
興,"thrive, prosper, flourish",xìng
認識,,rèn shì
也,also; classical final particle of strong affirmation or identity,yě
認,"recognize, know, understand",rèn
識,"recognize, understand, know",shì
吃,"eat; drink; suffer, endure, bear",chī
飯,"cooked rice; food, meal",fàn
魚,fish; surname; KangXi radical 195,yú
麵,"face; surface; plane; side, dimension",miàn
喝,"drink; shout, call out",hē
水,"water, liquid, lotion, juice",shuǐ
茶,tea,chá
不,"no, not; un-; negative prefix",bù
是,"indeed, yes, right; to be; demonstrative pronoun, this, that",shì
他,"other, another; he, she, it",tā
學生,,xué shēng
學,"learning, knowledge; school",xué
生,"life, living, lifetime; birth",shēng
嗎,final interrogative particle,ma
她,"she, her",tā
你們,,nǐ men
我們,,wǒ men
他們,,tā men
的,"possessive, adjectival suffix",de
電話,,diàn huà
電,electricity; electric; lightning,diàn
話,"speech, talk, language; dialect",huà
號碼,,hào mǎ
多少,,duō shǎo
多,"much, many; more than, over",duō
少,"few, less, inadequate",shǎo
號,"mark, sign; symbol; number",hào
碼,"number, numerals; yard; symbol",mǎ
中國,,zhōng guó
人,man; people; mankind; someone else,rén
中,"central; center, middle; in the midst of; hit (target); attain",zhōng
國,"nation, country, nation-state",guó
哪,which? where? how?,nǎ
英國,,yīng guó
美國,,měi guó
英,"petal, flower, leaf; brave, a hero; England, English",yīng
美,"beautiful, pretty; pleasing",měi
都,"metropolis, capital; all, the whole; elegant, refined",dōu dū
忙,"busy, pressed for time; hustling",máng
早上,,zǎo shàng
早,early; soon; morning,zǎo
上,"top; superior, highest; go up, send up",shàng
怎麼樣,,zěn me yàng
今天,,jīn tiān
怎,what? why? how?,zěn
樣,"shape, form, pattern, style",yàng
今,"now, today, modern era",jīn
天,"sky, heaven; god, celestial",tiān
傢,"house, home, residence; family",jiā
北京,,běi jīng
在,"be at, in, on; consist in, rest",zài
北,north; northern; northward,běi
京,capital city,jīng
哪兒,,nǎ ér
紐約,,niǔ yuē
香港,,xiāng gǎng
兒,"son, child; KangXi radical 10",ér
紐,"knot; button; handle, knob; tie",niǔ
謝謝,,xiè xiè
不客氣,,bù kè qì
謝,thank; decline,xiè
客,"guest, traveller; customer",kè
氣,"steam, vapor; KangXi radical 84",qì
對不起,,duì bù qǐ
沒關係,,méi guān xì
起,"rise, stand up; go up; begin",qǐ
沒,"not, have not, none; drown, sink",méi
關,frontier pass; close; relation,guān
爸爸,,bà bà
媽媽,,mā mā
愛,"love, be fond of, like",ài
傢人,,jiā rén
爸,"father, papa",bà
媽,"mother, mama",mā
誰,who? whom? whose? anyone?,shéi
那,"that, that one, those",nà
個,"numerary adjunct, piece; single",gè
這,"this, the, here",zhè
請問,,qǐng wèn
知道,,zhī dào
問,"ask about, inquire after",wèn
請,"ask, request; invite; please",qǐng
知,"know, perceive, comprehend",zhī
道,"path, road, street; method, way",dào
說,"speak, say, talk; scold, upbraid",shuō
英語,,yīng yǔ
漢語,,hàn yǔ
漢,Chinese people; Chinese language,hàn
早安,,zǎo ān
晚安,,wǎn ān
一會兒,,yī huì ér
見,"see, observe, behold; perceive",jiàn
會,"assemble, meet together; meeting",huì
安,"peaceful, tranquil, quiet",ān
最近,,zuì jìn
好久不見,,hǎo jiǔ bù jiàn
不錯,,bù cuò
最,"most, extremely, exceedingly",zuì
要,"necessary, essential; necessity",yào
熱,hot; heat; fever; restless; zeal,rè
冰,ice; ice-cold,bīng
牛奶,,niú nǎi
咖啡,,kā fēi
牛,"cow, ox, bull; KangXi radical93",niú
奶,milk; woman's breasts; nurse,nǎi
咖,coffee; a phonetic,kā
啡,morphine; coffee,fēi
洗手間,,xǐ shǒu jiān
醫院,,yī yuàn
洗,"wash, rinse; clean, purify",xǐ
手,hand,shǒu
間,"midpoint, space; place, locality",jiān
院,"courtyard, yard, court; school",yuàn
這兒,,zhè ér
那兒,,nà ér
飯館,,fàn guǎn
館,public building,guǎn
年,year; new-years; person's age,nián
月,moon; month; KangXi radical 74,yuè
號,"mark, sign; symbol; number",hào
幾,small table,jǐ
〇,zero,líng
星期,,xīng qī
明天,,míng tiān
天,"sky, heaven; god, celestial",tiān
日,sun; day; daytime,rì
星,"a star, planet; any point of light",xīng
孩子,,hái zi
兩,"two, both, pair, couple; ounce",liǎng
孩,"baby, child; children",hái
子,"offspring, child; fruit, seed of; 1st terrestrial branch",zi
女兒,,nǚ ér
兒子,,ér zi
歲,year; age; harvest,suì
女,"woman, girl; feminine; rad. 38",nǚ
兒,"son, child; KangXi radical 10",ér
妻子,,qī zi
喂,interjection to call attention,wèi
慢,"slow(ly), leisurely, sluggish",màn
一點兒,,yī diǎn ér
快,"rapid, quick, speedy, fast; soon",kuài
