phrase,english,pinyin,comments
特別,especially,tè bié,
隻,only,zhǐ,
剛,just,gāng,
已,already,yǐ,
再,again,zài,
就,then; right away,jiù,
纔,only then,cái,
通常,usually,tōng cháng,
偶爾,occasionally,ǒu ěr,
因該,therefore,yīn gāi,
看起來,Looks,kàn qǐ lái,
吧,emphatic final particle,ba,
比,"to compare, liken; comparison; than",bǐ,
真的,true,zhēn de,
還有,besides,huán yǒu,
還要,Also,huán yào,
第一,first,dì yī,
必須,must,bì xū,
別,don't,bié,
不要,don't,bù yào,
後,after,hòu,
前,before,qián,
和,and,hé,
其他,other,qí tā,
一樣,Same,yī yàng,
像,similar,xiàng,
別說,not only,bié shuō,
