phrase,english,pinyin,comments
酸,sour,suān,
定了,decided reserved,dìng le,
十分,very,shí fēn,
即時,"timely, immediate",jí shí,
相當,quite,xiāng dāng,
滿意,satisfied,mǎn yì,
方便,convenient,fāng biàn,
清楚,clear,qīng chǔ,
有用,useful,yǒu yòng,
怪,"strange, unusual, peculiar",guài,
正麵,positive,zhèng miàn,
看得見,visible,kàn dé jiàn,
弄錯,mistake,nòng cuò,
閤適,suitable,gé shì,
挺好,pretty good,tǐng hǎo,
直接,direct,zhí jiē,
一塌糊塗,extremely bad,yī tā hú tú,
糟糕,"terrible, didn't go as planned",zāo gāo,
同一,identical,tóng yī,
丟了,lost,dīu le,
不要臉,shameless,bù yào liǎn,
