phrase,english,pinyin,color,comments
必須,must,bì xū,yellow,modal verbs
會,"will, would",huì,orange,
應該,should,yīng gāi,orange,
能,can,néng,cyan,
可以,could,kě yǐ,black,
可能,may,kě néng,hot-pink,
要,need/want,yào,purple,
得,must,děi,light-grey,
敢,dare,gǎn,dark-red,
想,"to want, to think",xiǎng,orange,
需要,need,xū yào,dark-grey,
將,shall,jiāng,lime,end modal verbs
已經,already,yǐ jīng,dark-red,
如果,if,rú guǒ,lime,
但是,but,dàn shì,dark-red,
還是,still,hái shì,white,
也,also,yě,black,
又,"and, also, again, in addition",yòu,yellow,
到,to; arrive; reach,dào,teal,
從,from,cóng,dark-red,
跟,with,gēn,red,
還,still,hái,dark-grey,
常常,often,cháng cháng,teal,
總是,always,zǒng shì,light-grey,
有時候,sometimes,yǒu shí hòu,hot-pink,
馬上,immediately,mǎ shàng,dark-red,
剛纔,just now,gāng cái,teal,
立刻,at once,lì kè,purple,
突然,suddenly,tū rán,black,
一起,together,yī qǐ,white,
