phrase,english,pinyin,comments
更,"more, still further, much more",gèng,
所有,all,suǒ yǒu,
後,after,hòu,
前,before,qián,
和,and,hé,
其他,other,qí tā,
一樣,Same,yī yàng,
像,similar,xiàng,
別說,not only,bié shuō,
差不多,almost ,chà bù duō,
一共,all together,yī gòng,
不一定,not necessarily,bù yī dìng,
到底,"after all, finally, in the end",dào dǐ,
重新,again,zhòng xīn,
老是,always,lǎo shì,
根據,according to,gēn jù,
包颳,including,bāo guā,
順便,by the way,shùn biàn,
反正,anyway,fǎn zhèng,
一切,everything,yī qiē,
或者,or (__ 或者 __),huò zhě,
有人,"someone, anyone",yǒu rén,
雖然,although,sūi rán,
