phrase,english,pinyin,color,comments
塑膠袋,plastic bag,sù jiāo dài,cyan,
免洗筷,disposable chopsticks,miǎn xǐ kuài,hot-pink,
內用,to dine in,nèi yòng,blue,
有優惠嗎,is there a discount,yǒu yōu hùi ma,hot-pink,
買一送一,buy one get one free,mǎi yī sòng yī,yellow,
第二杯五摺,second cup half price,dì èr bēi wǔ zhé,light-grey,
八摺,20% off (8 discount),bā zhé,green,
這樣就好嘛,is this everything?,zhè yàng jìu hǎo ma,brown,
有會員嗎,do you have a membership?,yǒu hùi yuán ma,light-blue,
積澱,to accumulate points,jī diàn,purple,
可以刷卡麼,can I pay with credit card?,kě yǐ shuā qiǎ me,blue,
信用卡,credit card,xìn yòng qiǎ,yellow,
隻抽現金,pay with cash only,zhī chōu xiàn jīn,red,
外帶,take-out,wài dài,grey,
飲料,drinks,yǐn liào,purple,
湯類,soups,tāng lèi,yellow,
麵類,noodles,miàn lèi,orange,
飯類,rice,fàn lèi,green,
有推薦嗎?,any recommendations?,yǒu tūi jiàn ma ?,dark-red,
招牌菜是什麼?,whats your house dish?,zhāo pái cài shì shí me ?,teal,
老闆結帳,"boss, bill please!",lǎo bǎn jié zhàng,teal,
買單,pay the bill,mǎi dān,white,
廁所在哪?,where's the washroom?,cè suǒ zài nǎ ?,dark-red,
需要什麼呢?,how can I help you?,xū yào shí me ní ?,grey,
美式咖啡,americano,měi shì kā fēi,white,
拿鐵,latte,ná tiě,purple,
熱的還是冰的?,hot or cold?,rè de huán shì bīng de ?,hot-pink,
大、中還是小杯,"large, medium or small cup?",dà 、 zhōng huán shì xiǎo bēi,light-blue,
無糖,sugar free,wú táng,blue,
微糖,low sugar (30%),wēi táng,brown,
