phrase,english,pinyin,comments
半糖,half sugar,bàn táng,
少糖,less sugar (70%),shǎo táng,
正常,regular (sugar),zhèng cháng,
去冰,no ice,qù bīng,
有優惠嗎?,any promotions?,yǒu yōu hùi ma ?,
這樣就好嗎?,is this everything?,zhè yàng jìu hǎo ma ?,
有會員嗎?,do you have membership?,yǒu hùi yuán ma ?,
積點,accumulate points (abbreviation for 累積點數),jī diǎn,
載具有需要嗎?,need for electronic receipt?,zài jù yǒu xū yào ma ?,
統編有需要嗎?,serial number for tax benefits,tǒng biān yǒu xū yào ma ?,
可以刷卡嗎?,can I use credit card?,kě yǐ shuā qiǎ ma ?,
隻收現金,only accept cash,zhī shōu xiàn jīn,
稍等一下,please wait a moment,shāo děng yī xià,
震動後取餐,can pick up meal after vibration,zhèn dòng hòu qǔ cān,
這裡有wi-fi嗎,is there wi-fi here?,zhè lǐ yǒu Wi-Fi ma,
wi-fi密碼是?,whats the wi-fi password?,Wi-Fi mì mǎ shì ?,
直接,straight;direct (used to say are you eating in),zhí jiē,
打包,to pack;to wrap (used to say are you eating in),dǎ bāo,
用餐,dining,yòng cān,
