phrase,english,pinyin,color,comments
黃瓜,cucumber,huáng guā,green,
辣椒,chili pepper,là jiāo,red,
蒜,garlic,suàn,yellow,
薑,ginger,jiāng,yellow,
木耳,black fungus,mù ěr,black,
杏鮑菇,king oyster mushroom,xìng bào gū,brown,
金針菇,enoki mushroom,jīn zhēn gū,brown,
玉米,corn,yù mǐ,yellow,
豌豆,peas,wān dòu,green,
花生,peanut,huā shēng,brown,
核桃,walnut,hé táo,brown,
腰果,cashew,yāo guǒ,brown,
杏仁,almond,xìng rén,brown,
葡萄,grape,pú táo,purple,
橙子,orange,chéng zǐ,orange,
柚子,grapefruit,yòu zǐ,pink,
哈密瓜,hami melon,hā mì guā,lime,
櫻桃,cherry,yīng táo,red,
菠蘿,pineapple,bō luó,yellow,
芒果,mango,máng guǒ,orange,
獼猴桃,kiwi,mí hóu táo,green,
荔枝,lychee,lì zhī,black,
龍眼,longan,lóng yǎn,yellow,
榴蓮,durian,líu lián,orange,
鸚鵡螺,nautilus,yīng wǔ luó,grey,
鮑魚,abalone,bào yú,light-blue,
海參,sea cucumber,hǎi cān,dark-grey,
湯,soup,tāng,red,
