phrase,english,pinyin,color,comments
你好,hello,nǐ hǎo,blue,
再見,goodbye,zài jiàn,light-blue,
早安,good morning,zǎo ān,dark-red,
晚安,good evening,wǎn ān,dark-blue,
午安,good afternoon,wǔ ān,red,
不好意思,"excuse me, sorry",bù hǎo yì sī,black,
沒問題,no problem,méi wèn tí,cyan,
謝謝,thank you,xiè xiè,cyan,
請問,excuse me (to ask a question),qǐng wèn,red,
走吧,let's go,zǒu ba,light-grey,
請,please,qǐng,orange,
我不知道,I don't know,wǒ bù zhī dào,pink,
等一下,wait a bit,děng děng,light-grey,
小心,be careful,xiǎo xīn,purple,
為什麼,why,wèi shí me,light-grey,
加油,let's go! (literally: add oil),jiā yóu,green,
對不起,sorry,dùi bù qǐ,green,
沒關係,it's okay (used like: no problem),méi guān xì,pink,
可以嗎,can I? is it okay?,kě yǐ ma,dark-red,
不可以,"not able, cannot",bù kě yǐ,cyan,
快點,hurry up,kuài diǎn,grey,
等等,wait up,děng děng,dark-blue,
告訴你,I'll tell you,gào sù nǐ,dark-grey,
讓我,let me,ràng wǒ,purple,
我來了,I'm coming,wǒ lái le,light-grey,
我不明白,I don't understand,wǒ bù míng bái,brown,
不客氣,you're welcome,bù kè qì,dark-blue,
對對對對,yes yes yes yes,dùi dùi dùi dùi,dark-grey,
不錯,not bad,bù cuò,dark-grey,
同意,agree,tóng yì,teal,
