phrase,english,pinyin,comments
順便,by the way,shùn biàn,
馬馬虎虎,so-so,mǎ mǎ hǔ hǔ,
差不多,almost,chà bù duō,
到底出了,what on earth happened,dào dǐ chū le,
算了,never mind,suàn le,
我來請,It's my treat,wǒ lái qǐng,
乾杯,cheers,gān bēi,
不大不小,trivial,bù dà bù xiǎo,
來不及,not enough time,lái bù jí,
真麼個,Really?,zhēn me gè,
挺好,pretty good,tǐng hǎo,
一塌糊塗,extremely bad,yī tā hú tú,
碰到過...,have encountered (followed by something),pèng dào guò ...,
這種事,this kind of thing,zhè zhǒng shì,
半路上,"on the way, halfway there",bàn lù shàng,
有道理,makes sense,yǒu dào lǐ,
沒辦法,no way,méi bàn fǎ,
