phrase,english,pinyin,color,comments
編輯,edit,biān jí,white,
復製,copy,fù zhì,pink,
粘貼,paste,nián tiē,teal,
打印,print,dǎ yìn,light-blue,
掃描,scan,sǎo miáo,black,
連接,connect,lián jiē,dark-blue,
斷開,disconnect,duàn kāi,grey,
安裝,install,ān zhuāng,grey,
卸載,uninstall,xiè zài,hot-pink,
升級,upgrade,shēng jí,teal,
下載,download,xià zài,green,
上傳,upload,shàng chuán,light-grey,
搜索,search,sōu suǒ,brown,
瀏覽,browse,líu lǎn,dark-red,
訂閱,subscribe,dìng yuè,pink,
取消,unsubscribe,qǔ xiāo,teal,
注冊,register,zhù cè,dark-grey,
登錄,log in,dēng lù,red,
登出,log out,dēng chū,yellow,
退出,exit,tùi chū,light-blue,
進入,enter,jìn rù,dark-blue,
離開,leave,lí kāi,purple,
返回,return,fǎn húi,orange,
轉,turn,zhuǎn,green,
保持,keep,bǎo chí,white,
丟失,lose,dīu shī,cyan,
獲得,get,huò dé,teal,
擁有,own,yōng yǒu,black,
占有,possess,zhān yǒu,black,
分享,share,fēn xiǎng,orange,
