phrase,english,pinyin
湯圓,sweet dumplings (glutinous rice balls),tāng yuán
肉鬆,pork floss,ròu sōng
油條,deep-fried dough sticks,yóu tiáo
蛋餅,egg pancake,dàn bǐng
掛包,braised pork belly bun,guà bāo
蔥油餅,scallion pancake,cōng yóu bǐng
小籠包,soup dumpling,xiǎo lóng bāo
點心,dim sum,diǎn xīn
火鍋,hot pot,huǒ guō
木瓜牛奶,papaya milk,mù guā níu nǎi
餃子,dumplings,jiǎo zǐ
奶油餅,cream filled circle bun,nǎi yóu bǐng
鍋貼,potstickers,guō tiē
米飯,steamed rice,mǐ fàn
麵條,noodles,miàn tiáo
包子,steamed buns,bāo zǐ
春捲,spring rolls,chūn juǎn
炒飯,fried rice,chǎo fàn
炒麵,stir-fried noodles,chǎo miàn
紅燒肉,braised pork belly,hóng shāo ròu
宮保雞丁,kung pao chicken,gōng bǎo jī dīng
麻婆豆腐,mapo tofu,má pó dòu fǔ
魚香肉絲,fish-flavored shredded pork,yú xiāng ròu sī
糖醋裏脊,sweet and sour pork,táng cù lǐ jí
烤鴨,roast duck,kǎo yā
牛肉麵,beef noodle soup,níu ròu miàn
酸辣湯,hot and sour soup,suān là tāng
獅子頭,meatball stew,shī zǐ tóu
餛飩,wonton,hún tún
燒賣,shumai,shāo mài
叉燒,barbecued pork,chā shāo
鹹蛋,salted duck egg,xián dàn
皮蛋,preserved egg,pí dàn
花捲,steamed twisted rolls,huā juǎn
粽子,sticky rice dumpling,zòng zǐ
糯米雞,sticky rice chicken,nuò mǐ jī
蘿蔔糕,turnip cake,luó bo gāo
蛋炒飯,egg fried rice,dàn chǎo fàn
西紅柿炒蛋,tomato scrambled eggs,xī hóng shì chǎo dàn
蒸魚,steamed fish,zhēng yú
清蒸蝦,steamed shrimp,qīng zhēng xiā
烤魚,grilled fish,kǎo yú
辣子雞,spicy chicken,là zǐ jī
水煮魚,boiled fish in chili oil,shǔi zhǔ yú
粥,"congee, soup",zhōu
珍珠奶茶,Bubble milk tea,zhēn zhū nǎi chá
臭豆腐,stinky tofu,chòu dòu fǔ
