phrase,english,pinyin,comments
叉燒,barbecued pork,chā shāo,
鹹蛋,salted duck egg,xián dàn,
皮蛋,preserved egg,pí dàn,
花捲,steamed twisted rolls,huā juǎn,
粽子,sticky rice dumpling,zòng zǐ,
糯米雞,sticky rice chicken,nuò mǐ jī,
蘿蔔糕,turnip cake,luó bo gāo,
蛋炒飯,egg fried rice,dàn chǎo fàn,
西紅柿炒蛋,tomato scrambled eggs,xī hóng shì chǎo dàn,
蒸魚,steamed fish,zhēng yú,
清蒸蝦,steamed shrimp,qīng zhēng xiā,
烤魚,grilled fish,kǎo yú,
辣子雞,spicy chicken,là zǐ jī,
水煮魚,boiled fish in chili oil,shǔi zhǔ yú,
粥,"congee, soup",zhōu,
珍珠奶茶,Bubble milk tea,zhēn zhū nǎi chá,
臭豆腐,stinky tofu,chòu dòu fǔ,
