phrase,english,pinyin
肉鬆,pork floss,ròu sōng
粥,"congee, soup",zhōu
豆腐,tofu,dòu fǔ
豆漿,soy milk,dòu jiāng
魚丸,fish balls,yú wán
牛肉,beef,níu ròu
豬肉,pork,zhū ròu
雞肉,chicken,jī ròu
羊肉,lamb,yáng ròu
鴨肉,duck,yā ròu
蝦,shrimp,xiā
蟹,crab,xiè
龍蝦,lobster,lóng xiā
田雞,frog,tián jī
鵪鶉,quail,ān chún
鸚鵡螺,nautilus,yīng wǔ luó
鮑魚,abalone,bào yú
海參,sea cucumber,hǎi cān
海帶,kelp,hǎi dài
紫菜,seaweed,zǐ cài
豆皮,tofu skin,dòu pí
豆芽,bean sprouts,dòu yá
青菜,greens,qīng cài
菠菜,spinach,bō cài
白菜,Chinese cabbage,bái cài
油麥菜,romaine lettuce,yóu mài cài
芥蘭,Chinese broccoli,jiè lán
西蘭花,broccoli,xī lán huā
鬍蘿蔔,carrot,hú luó bo
土豆,potato,tǔ dòu
南瓜,pumpkin,nán guā
茄子,eggplant,qié zǐ
西葫蘆,zucchini,xī hú lú
黃瓜,cucumber,huáng guā
番茄,tomato,fān qié
辣椒,chili pepper,là jiāo
洋蔥,onion,yáng cōng
蒜,garlic,suàn
薑,ginger,jiāng
香菇,shiitake mushroom,xiāng gū
木耳,black fungus,mù ěr
杏鮑菇,king oyster mushroom,xìng bào gū
金針菇,enoki mushroom,jīn zhēn gū
玉米,corn,yù mǐ
豌豆,peas,wān dòu
花生,peanut,huā shēng
核桃,walnut,hé táo
腰果,cashew,yāo guǒ
杏仁,almond,xìng rén
葡萄,grape,pú táo
蘋果,apple,pín guǒ
香蕉,banana,xiāng jiāo
橙子,orange,chéng zǐ
柚子,grapefruit,yòu zǐ
西瓜,watermelon,xī guā
哈密瓜,hami melon,hā mì guā
草莓,strawberry,cǎo méi
櫻桃,cherry,yīng táo
菠蘿,pineapple,bō luó
芒果,mango,máng guǒ
獼猴桃,kiwi,mí hóu táo
荔枝,lychee,lì zhī
龍眼,longan,lóng yǎn
榴蓮,durian,líu lián
椰子,coconut,yé zǐ
