phrase,english,pinyin,comments
肉鬆,pork floss,ròu sōng,
粥,"congee, soup",zhōu,
豆腐,tofu,dòu fǔ,
豆漿,soy milk,dòu jiāng,
魚丸,fish balls,yú wán,
牛肉,beef,níu ròu,
豬肉,pork,zhū ròu,
雞肉,chicken,jī ròu,
羊肉,lamb,yáng ròu,
鴨肉,duck,yā ròu,
蝦,shrimp,xiā,
蟹,crab,xiè,
龍蝦,lobster,lóng xiā,
田雞,frog,tián jī,
鵪鶉,quail,ān chún,
鸚鵡螺,nautilus,yīng wǔ luó,
鮑魚,abalone,bào yú,
海參,sea cucumber,hǎi cān,
海帶,kelp,hǎi dài,
紫菜,seaweed,zǐ cài,
豆皮,tofu skin,dòu pí,
豆芽,bean sprouts,dòu yá,
青菜,greens,qīng cài,
菠菜,spinach,bō cài,
白菜,Chinese cabbage,bái cài,
油麥菜,romaine lettuce,yóu mài cài,
芥蘭,Chinese broccoli,jiè lán,
西蘭花,broccoli,xī lán huā,
鬍蘿蔔,carrot,hú luó bo,
土豆,potato,tǔ dòu,
