phrase,english,pinyin
個,general,gè
杯,"cup, glass",bēi
本,"book, volume",běn
張,"flat objects (paper, tickets, tables)",zhāng
條,"long, narrow objects (fish, rivers, pants)",tiáo
隻,"animals, one of a pair",zhī
雙,pair,shuāng
件,"clothing, events, matters",jiàn
塊,"piece, chunk",kuài
支,"stick-like objects (pens, guns)",zhī
棵,"plants, trees",kē
輛,vehicles,liàng
片,"slice, piece",piàn
封,"letters, mail",fēng
顆,"small round objects (pearls, seeds)",kē
把,"objects with handles (chairs, knives)",bǎ
座,"large, immovable objects (mountains, buildings)",zuò
匹,"horses, mules",pǐ
