phrase,english,pinyin
應該,should,yīng gāi
已經,already,yǐ jīng
知道,know,zhī dào
如果,if,rú guǒ
但是,but,dàn shì
還是,still,hái shì
也,also,yě
又,"and, also, again, in addition",yòu
在,at; in; on,zài
到,to; arrive; reach,dào
從,from,cóng
跟,with,gēn
還,still,hái
常常,often,cháng cháng
總是,always,zǒng shì
有時候,sometimes,yǒu shí hòu
馬上,immediately,mǎ shàng
剛纔,just now,gāng cái
立刻,at once,lì kè
突然,suddenly,tū rán
一起,together,yī qǐ
在...裡,in (inside),zài...lǐ
在...外,outside (of),zài...wài
在...上,on (top of),zài...shàng
在...下,under (below),zài...xià
對於,regarding; concerning,duì yú
關於,about; regarding,guān yú
除了,except; besides,chú le
因為,because,yīn wèi
所以,so; therefore,suǒ yǐ
跟著,following,gēn zhe
嚮,towards,xiàng
往,towards; to,wǎng
從...到,from...to,cóng...dào
一直,continuously;yì zhí,yī zhí
非常,very; extremely,fēi cháng
比較,comparatively,bǐ jiào
特別,especially,tè bié
隻,only,zhǐ
剛,just,gāng
已,already,yǐ
再,again,zài
就,then; right away,jiù
纔,only then,cái
通常,usually,tōng cháng
偶爾,occasionally,ǒu ěr
