phrase,english,pinyin,comments
隨便,I'm good with whatever,súi biàn,
真的嗎,really?,zhēn de ma,
真的假的,for real?,zhēn de jiǎ de,
我希望,I hope,wǒ xī wàng,
我懂了,I understand,wǒ dǒng le,
我不懂,I don't understand,wǒ bù dǒng,
沒事,no worries,méi shì,
沒錯,"that's right, sure",méi cuò,
怎麼了,what's wrong?,zěn me le,
祝你好運,good luck,zhù nǐ hǎo yùn,
沒時間,no time,méi shí jiān,
慢慢來,take your time,màn màn lái,
屁啦,"yeah right, nonsense",pì la,
哇噻,wow,wā sai,
太扯了,so ridiculous,tài chě le,
好酷,so cool,hǎo kù,
你很煩,you're annoying,nǐ hěn fán,
什麼鬼,what the heck,shí me gǔi,
感恩,thank you (feel grateful),gǎn ēn,
好嗨,So happy,hǎo hāi,
我跟你說,I tell you,wǒ gēn nǐ shuō,
不會,"no worries, you're welcome, don't mention it",bù hùi,
還好,"passable, not bad ",huán hǎo,
誰在乎啊,who cares?,shúi zài hū a,
那又怎樣,so what?,nà yòu zěn yàng,
纔怪呢,as if,cái guài ní,
鬍說八道,nonsense,hú shuō bā dào,
太荒謬了,that's ridiculous,tài huāng mìu le,
省省吧,give me a break,shěng shěng ba,
三小,what the heck,sān xiǎo,
