phrase,english,pinyin,comment
你,"you, second person pronoun",nǐ
好,"good, excellent, fine; well",hǎo
再見,goodbye,zài jiàn
再,"again, twice, re-",zài
見,"see, observe, behold; perceive",jiàn
三,three,sān
一,"one; a, an; alone",yī
七,seven,qī
八,"eight; all around, all sides",bā
十,"ten, tenth; complete; perfect",shí
零,"zero; fragment, fraction",líng
元,first; dollar; origin; head,yuán
五,five; surname,wǔ
九,nine,jǐu
百,"one hundred; numerous, many",bǎi
叫,"cry, shout; hail, greet, call",jiào
我,"our, us, i, me, my, we",wǒ
張,"stretch, extend, expand; sheet",zhāng
李,plum; judge; surname,lǐ
華,flowery; illustrious; Chinese,huá
明,"bright, light, brilliant; clear",míng
名字,name,míng zì
什麼,What,shí me
名,"name, rank, title, position",míng
字,"letter, character, simplified",zì
很,"very, quite, much",hěn
高興,Happy,gāo xīng
高,"high, tall; lofty, elevated",gāo
興,"thrive, prosper, flourish",xīng
認識,know,rèn shi
也,also; classical final particle of strong affirmation or identity,yě
認,"recognize, know, understand",rèn
識,"recognize, understand, know",shi
吃,"eat; drink; suffer, endure, bear",chī
飯,"cooked rice; food, meal",fàn
魚,fish; surname; KangXi radical 195,yú
麵,"face; surface; plane; side, dimension",miàn
喝,"drink; shout, call out",hē
水,"water, liquid, lotion, juice",shǔi
茶,tea,chá
不,"no, not; un-; negative prefix",bù
是,"indeed, yes, right; to be; demonstrative pronoun, this, that",shì
他,"other, another; he, she, it",tā
學生,student,xué shēng
學,"learning, knowledge; school",xué
生,"life, living, lifetime; birth",shēng
嗎,final interrogative particle,ma
她,"she, her",tā
你們,you,nǐ men
我們,us,wǒ men
他們,them,tā men
的,"possessive, adjectival suffix",de
電話,Telephone,diàn huà
電,electricity; electric; lightning,diàn
話,"speech, talk, language; dialect",huà
號碼,Number,hào mǎ
多少,How many,duō shǎo
多,"much, many; more than, over",duō
少,"few, less, inadequate",shǎo
號,"mark, sign; symbol; number",hào
碼,"number, numerals; yard; symbol",mǎ
中國,China,zhōng guó
人,man; people; mankind; someone else,rén
中,"central; center, middle; in the midst of; hit (target); attain",zhōng
國,"nation, country, nation-state",guó
哪,which? where? how?,nǎ
英國,U.K.,yīng guó
美國,USA,měi guó
英,"petal, flower, leaf; brave, a hero; England, English",yīng
美,"beautiful, pretty; pleasing",měi
都,"metropolis, capital; all, the whole; elegant, refined",dū
忙,"busy, pressed for time; hustling",máng
早上,Morning,zǎo shàng
早,early; soon; morning,zǎo
上,"top; superior, highest; go up, send up",shàng
怎麼樣,How about it,zěn me yàng
今天,today,jīn tiān
怎,what? why? how?,zěn
樣,"shape, form, pattern, style",yàng
今,"now, today, modern era",jīn
天,"sky, heaven; god, celestial",tiān
傢,"house, home, residence; family",jiā
北京,Beijing,běi jīng
在,"be at, in, on; consist in, rest",zài
北,north; northern; northward,běi
京,capital city,jīng
哪兒,where,nǎ ér
紐約,New York,nǐu yuē
香港,Hongkong,xiāng gǎng
兒,"son, child; KangXi radical 10",ér
紐,"knot; button; handle, knob; tie",nǐu
謝謝,Thanks,xiè xiè
不客氣,You&#39;re welcome,bù kè qì
謝,thank; decline,xiè
客,"guest, traveller; customer",kè
氣,"steam, vapor; KangXi radical 84",qì
對不起,sorry,dùi bù qǐ
沒關係,It doesn&#39;t matter,méi guān xì
起,"rise, stand up; go up; begin",qǐ
沒,"not, have not, none; drown, sink",méi
關,frontier pass; close; relation,guān
爸爸,dad,bà bà
媽媽,Mother,mā mā
愛,"love, be fond of, like",ài
傢人,family,jiā rén
爸,"father, papa",bà
媽,"mother, mama",mā
誰,who? whom? whose? anyone?,shúi
那,"that, that one, those",nà
個,"numerary adjunct, piece; single",gè
這,"this, the, here",zhè
請問,Excuse me,qǐng wèn
知道,Know,zhī dào
問,"ask about, inquire after",wèn
請,"ask, request; invite; please",qǐng
知,"know, perceive, comprehend",zhī
道,"path, road, street; method, way",dào
說,"speak, say, talk; scold, upbraid",shuō
英語,English,yīng yǔ
漢語,Chinese,hàn yǔ
漢,Chinese people; Chinese language,hàn
早安,good morning,zǎo ān
晚安,good evening,wǎn ān
一會兒,a while,yī hùi ér
會,"assemble, meet together; meeting",hùi
安,"peaceful, tranquil, quiet",ān
最近,recent,zùi jìn
好久不見,haven&#39;t seen you for a long time,hǎo jǐu bù jiàn
不錯,good,bù cuò
最,"most, extremely, exceedingly",zùi
要,"necessary, essential; necessity",yào
熱,hot; heat; fever; restless; zeal,rè
冰,ice; ice-cold,bīng
牛奶,milk,níu nǎi
咖啡,coffee,kā fēi
牛,"cow, ox, bull; KangXi radical93",níu
奶,milk; woman's breasts; nurse,nǎi
咖,coffee; a phonetic,kā
啡,morphine; coffee,fēi
洗手間,restroom,xǐ shǒu jiān
醫院,Hospital,yī yuàn
洗,"wash, rinse; clean, purify",xǐ
手,hand,shǒu
間,"midpoint, space; place, locality",jiān
院,"courtyard, yard, court; school",yuàn
這兒,here,zhè ér
那兒,there,nà ér
飯館,restaurant,fàn guǎn
館,public building,guǎn
年,year; new-years; person's age,nián
月,moon; month; KangXi radical 74,yuè
幾,small table,jǐ
〇,zero,〇
星期,Week,xīng qī
明天,tomorrow,míng tiān
日,sun; day; daytime,rì
星,"a star, planet; any point of light",xīng
孩子,child,hái zǐ
兩,"two, both, pair, couple; ounce",liǎng
孩,"baby, child; children",hái
子,"offspring, child; fruit, seed of; 1st terrestrial branch",zǐ
女兒,daughter,nv̌ ér
兒子,son,ér zǐ
歲,year; age; harvest,sùi
女,"woman, girl; feminine; rad. 38",nv̌
妻子,wife,qī zǐ
喂,interjection to call attention,wèi
慢,"slow(ly), leisurely, sluggish",màn
一點兒,a little,yī diǎn ér
快,"rapid, quick, speedy, fast; soon",kuài
得,"obtain, get, gain, acquire",dé
明白,clear,míng bái
白,"white; pure, unblemished; bright",bái
漂亮,pretty,piāo liàng
漂,"float, drift; tossed about",piāo
亮,"bright, brilliant, radiant, light",liàng
