phrase,english,pinyin,comments
高,high/tall,gāo,
低,low,dī,
大,big,dà,
小,small,xiǎo,
長,long,cháng,
短,short,duǎn,
快,fast,kuài,
慢,slow,màn,
新,new,xīn,
好,good,hǎo,
熱,hot,rè,
冷,cold,lěng,
漂亮,pretty,piāo liàng,
聰明,smart,cōng míng,
容易,easy,róng yì,
難,difficult,nán,
貴,expensive,gùi,
便宜,cheap,pián yí,
忙,busy,máng,
開心,happy,kāi xīn,
纍,tired,lèi,
健康,healthy,jiàn kāng,
鹹,salty,xián,
甜,sweet,tián,
苦,bitter,kǔ,
遠,far,yuǎn,
近,near,jìn,
舒服,comfortable,shū fú,
難過,sad,nán guò,
有錢,rich,yǒu qián,
