phrase,english,pinyin,comments
塑膠袋,plastic bag,sù jiāo dài,
免洗筷,disposable chopsticks,miǎn xǐ kuài,
內用,to dine in,nèi yòng,
有優惠嗎,is there a discount,yǒu yōu hùi ma,
買一送一,buy one get one free,mǎi yī sòng yī,
第二杯五摺,second cup half price,dì èr bēi wǔ zhé,
八摺,20% off (8 discount),bā zhé,
這樣就好嘛,is this everything?,zhè yàng jìu hǎo ma,
有會員嗎,do you have a membership?,yǒu hùi yuán ma,
積澱,to accumulate points,jī diàn,
可以刷卡麼,can I pay with credit card?,kě yǐ shuā qiǎ me,
信用卡,credit card,xìn yòng qiǎ,
隻抽現金,pay with cash only,zhī chōu xiàn jīn,
外帶,take-out,wài dài,
飲料,drinks,yǐn liào,
湯類,soups,tāng lèi,
麵類,noodles,miàn lèi,
飯類,rice,fàn lèi,
有推薦嗎?,any recommendations?,yǒu tūi jiàn ma ?,
招牌菜是什麼?,whats your house dish?,zhāo pái cài shì shí me ?,
老闆結帳,"boss, bill please!",lǎo bǎn jié zhàng,
買單,pay the bill,mǎi dān,
廁所在哪?,where's the washroom?,cè suǒ zài nǎ ?,
需要什麼呢?,how can I help you?,xū yào shí me ní ?,
美式咖啡,americano,měi shì kā fēi,
拿鐵,latte,ná tiě,
熱的還是冰的?,hot or cold?,rè de huán shì bīng de ?,
大、中還是小杯,"large, medium or small cup?",dà 、 zhōng huán shì xiǎo bēi,
無糖,sugar free,wú táng,
微糖,low sugar (30%),wēi táng,
