phrase,english,pinyin,color,comments
你,"you, second person pronoun",nǐ,dark-red,
好,"good, excellent, fine; well",hǎo,lime,
再見,goodbye,zài jiàn,brown,
再,"again, twice, re-",zài,hot-pink,
見,"see, observe, behold; perceive",jiàn,white,
三,three,sān,dark-grey,
一,"one; a, an; alone",yī,red,
七,seven,qī,green,
八,"eight; all around, all sides",bā,dark-grey,
十,"ten, tenth; complete; perfect",shí,white,
零,"zero; fragment, fraction",líng,red,
元,first; dollar; origin; head,yuán,pink,
五,five; surname,wǔ,purple,
九,nine,jǐu,teal,
百,"one hundred; numerous, many",bǎi,dark-blue,
叫,"cry, shout; hail, greet, call",jiào,blue,
我,"our, us, i, me, my, we",wǒ,light-blue,
張,"stretch, extend, expand; sheet",zhāng,yellow,
李,plum; judge; surname,lǐ,orange,
華,flowery; illustrious; Chinese,huá,pink,
明,"bright, light, brilliant; clear",míng,hot-pink,
名字,name,míng zì,brown,
什麼,What,shí me,blue,
名,"name, rank, title, position",míng,blue,
字,"letter, character, simplified",zì,cyan,
很,"very, quite, much",hěn,white,
高興,Happy,gāo xīng,teal,
高,"high, tall; lofty, elevated",gāo,blue,
興,"thrive, prosper, flourish",xīng,cyan,
認識,know,rèn shi,grey,
也,also; classical final particle of strong affirmation or identity,yě,light-blue,
認,"recognize, know, understand",rèn,brown,
識,"recognize, understand, know",shi,light-grey,
吃,"eat; drink; suffer, endure, bear",chī,grey,
飯,"cooked rice; food, meal",fàn,dark-blue,
魚,fish; surname; KangXi radical 195,yú,purple,
麵,"face; surface; plane; side, dimension",miàn,red,
喝,"drink; shout, call out",hē,red,
水,"water, liquid, lotion, juice",shǔi,hot-pink,
茶,tea,chá,green,
不,"no, not; un-; negative prefix",bù,yellow,
是,"indeed, yes, right; to be; demonstrative pronoun, this, that",shì,teal,
他,"other, another; he, she, it",tā,white,
學生,student,xué shēng,light-grey,
學,"learning, knowledge; school",xué,hot-pink,
生,"life, living, lifetime; birth",shēng,yellow,
嗎,final interrogative particle,ma,cyan,
她,"she, her",tā,orange,
你們,you,nǐ men,yellow,
我們,us,wǒ men,lime,
他們,them,tā men,purple,
的,"possessive, adjectival suffix",de,grey,
電話,Telephone,diàn huà,green,
電,electricity; electric; lightning,diàn,hot-pink,
話,"speech, talk, language; dialect",huà,black,
號碼,Number,hào mǎ,pink,
多少,How many,duō shǎo,pink,
多,"much, many; more than, over",duō,green,
少,"few, less, inadequate",shǎo,light-blue,
號,"mark, sign; symbol; number",hào,red,
碼,"number, numerals; yard; symbol",mǎ,yellow,
中國,China,zhōng guó,orange,
人,man; people; mankind; someone else,rén,red,
中,"central; center, middle; in the midst of; hit (target); attain",zhōng,white,
國,"nation, country, nation-state",guó,purple,
哪,which? where? how?,nǎ,hot-pink,
英國,U.K.,yīng guó,pink,
美國,USA,měi guó,orange,
英,"petal, flower, leaf; brave, a hero; England, English",yīng,red,
美,"beautiful, pretty; pleasing",měi,orange,
都,"metropolis, capital; all, the whole; elegant, refined",dū,light-grey,
忙,"busy, pressed for time; hustling",máng,dark-grey,
早上,Morning,zǎo shàng,yellow,
早,early; soon; morning,zǎo,teal,
上,"top; superior, highest; go up, send up",shàng,dark-grey,
怎麼樣,How about it,zěn me yàng,dark-blue,
今天,today,jīn tiān,purple,
