phrase,english,pinyin,comments
分配,assign,fēn pèi,
分發,distribute,fēn fā,
收集,collect,shōu jí,
整理,organize,zhěng lǐ,
儲存,store,chǔ cún,
運輸,transport,yùn shū,
郵寄,mail,yóu jì,
接收,receive,jiē shōu,
感謝,thank,gǎn xiè,
道歉,apologize,dào qiàn,
原諒,forgive,yuán liàng,
責備,blame,zé bèi,
贊美,praise,zàn měi,
鼓勵,encourage,gǔ lì,
支持,support,zhī chí,
反對,oppose,fǎn dùi,
建議,suggest,jiàn yì,
推薦,recommend,tūi jiàn,
要求,request,yào qíu,
命令,order,mìng lìng,
允許,allow,yǔn xǔ,
禁止,forbid,jìn zhǐ,
遵守,obey,zūn shǒu,
違反,violate,wéi fǎn,
遵循,follow,zūn xún,
引導,guide,yǐn dǎo,
處理,handle,chù lǐ,
解決,solve,jiě jué,
應對,cope,yīng dùi,
麵對,face,miàn dùi,
