phrase,english,pinyin
吃,eat,chī
喝,drink,hē
走,walk,zǒu
跑,run,pǎo
看,see,kàn
聽,hear,tīng
說,speak,shuō
寫,write,xiě
讀,read,dú
買,buy,mǎi
賣,sell,mài
做,do,zuò
工作,work,gōng zuò
學習,study,xué xí
教,teach,jiào
問,ask,wèn
答,answer,dá
想,think,xiǎng
知道,know,zhī dào
理解,understand,lǐ jiě
記,remember,jì
忘,forget,wàng
打開,open,dǎ kāi
關閉,close,guān bì
開始,start,kāi shǐ
結束,end,jié shù
睡,sleep,shùi
醒,wake,xǐng
坐,sit,zuò
站,stand,zhàn
跳,jump,tiào
遊泳,swim,yóu yǒng
飛,fly,fēi
騎,ride,qí
開,drive,kāi
停,stop,tíng
等,wait,děng
幫助,help,bāng zhù
喜歡,like,xǐ huān
愛,love,ài
討厭,hate,tǎo yàn
需要,need,xū yào
希望,hope,xī wàng
擔心,worry,dān xīn
相信,believe,xiāng xìn
嘗試,try,cháng shì
改變,change,gǎi biàn
決定,decide,jué dìng
選擇,choose,xuǎn zé
接受,accept,jiē shòu
拒絕,refuse,jù jué
發送,send,fā sòng
收到,receive,shōu dào
帶,bring,dài
拿,take,ná
放,put,fàng
丟,lose,dīu
找到,find,zhǎo dào
修理,fix,xīu lǐ
建造,build,jiàn zào
破壞,destroy,pò huài
保護,protect,bǎo hù
洗,wash,xǐ
擦,wipe,cā
刷,brush,shuā
剪,cut,jiǎn
畫,draw,huà
拍照,take photos,pāi zhào
錄音,record,lù yīn
唱歌,sing,chàng gē
跳舞,dance,tiào wǔ
笑,laugh,xiào
哭,cry,kū
喊,shout,hǎn
打,hit,dǎ
踢,kick,tī
抱,hug,bào
親吻,kiss,qīn wěn
碰,touch,pèng
聞,smell,wén
嘗,taste,cháng
付,pay,fù
藉,borrow,jiè
還,return,huán
租,rent,zū
送,give,sòng
收,collect,shōu
分,divide,fēn
閤,combine,gé
增加,increase,zēng jiā
減少,decrease,jiǎn shǎo
成長,grow,chéng cháng
縮小,shrink,suō xiǎo
擴展,expand,kuò zhǎn
縮短,shorten,suō duǎn
延長,extend,yán cháng
搬,move,bān
推,push,tūi
拉,pull,lā
扔,throw,rēng
抓,catch,zhuā
撿,pick up,jiǎn
掉,drop,diào
掉落,fall,diào luò
升,raise,shēng
降,lower,jiàng
翻,turn over,fān
滾,roll,gǔn
滑,slide,huá
爬,climb,pá
藏,hide,cáng
找,search,zhǎo
展示,show,zhǎn shì
演,perform,yǎn
玩,play,wán
休息,rest,xīu xī
旅行,travel,lv̌ xíng
參觀,visit,cān guān
參加,attend,cān jiā
組織,organize,zǔ zhī
計劃,plan,jì huà
預訂,book,yù dìng
預約,make appointment,yù yuē
通知,notify,tōng zhī
提醒,remind,tí xǐng
報告,report,bào gào
評論,comment,píng lùn
討論,discuss,tǎo lùn
解釋,explain,jiě shì
描述,describe,miáo shù
錶達,express,biǎo dá
代錶,represent,dài biǎo
管理,manage,guǎn lǐ
領導,lead,lǐng dǎo
控製,control,kòng zhì
監督,supervise,jiān dū
檢查,check,jiǎn chá
測試,test,cè shì
評估,evaluate,píng gū
審查,review,shěn chá
批準,approve,pī zhǔn
保存,save,bǎo cún
刪除,delete,shān chú
編輯,edit,biān jí
復製,copy,fù zhì
粘貼,paste,nián tiē
打印,print,dǎ yìn
掃描,scan,sǎo miáo
連接,connect,lián jiē
斷開,disconnect,duàn kāi
安裝,install,ān zhuāng
卸載,uninstall,xiè zài
升級,upgrade,shēng jí
下載,download,xià zài
上傳,upload,shàng chuán
搜索,search,sōu suǒ
瀏覽,browse,líu lǎn
訂閱,subscribe,dìng yuè
取消,unsubscribe,qǔ xiāo
注冊,register,zhù cè
登錄,log in,dēng lù
登出,log out,dēng chū
退出,exit,tùi chū
進入,enter,jìn rù
離開,leave,lí kāi
返迴,return,fǎn húi
轉,turn,zhuǎn
保持,keep,bǎo chí
丟失,lose,dīu shī
獲得,get,huò dé
擁有,own,yōng yǒu
占有,possess,zhān yǒu
分享,share,fēn xiǎng
