phrase,english,pinyin,comments
摺,fold,zhé,
展開,unfold,zhǎn kāi,
撕,tear,sī,
縫,sew,féng,
織,knit,zhī,
粘,glue,nián,
貼,stick,tiē,
雕刻,carve,diāo kè,
塑造,shape,sù zào,
製作,make,zhì zuò,
創造,create,chuàng zào,
設計,design,shè jì,
發明,invent,fā míng,
開發,develop,kāi fā,
研究,research,yán jīu,
探索,explore,tàn suǒ,
發現,discover,fā xiàn,
調查,investigate,diào chá,
分析,analyze,fēn xī,
計算,calculate,jì suàn,
測量,measure,cè liàng,
估計,estimate,gū jì,
預測,predict,yù cè,
安排,arrange,ān pái,
準備,prepare,zhǔn bèi,
完成,complete,wán chéng,
實現,achieve,shí xiàn,
失去,lose,shī qù,
贏,win,yíng,
輸,lose,shū,
