hanzi,pinyin,pinyinToneless,tone
芰,jì,ji,4
炃,fén,fen,2
䣜,cuó,cuo,2
湢,bì,bi,4
臼,jìu,jiu,4
锡,xí,xi,2
愂,bèi,bei,4
耜,sì,si,4
秴,hé,he,2
挘,挘,挘,
阠,xìn,xin,4
㡝,fèng,feng,4
搵,wèn,wen,4
犦,bào,bao,4
紁,chà,cha,4
㡙,bì,bi,4
㔼,sǔn,sun,3
氒,jué,jue,2
何,hé,he,2
藙,yì,yi,4
燃,rán,ran,2
回,húi,hui,2
庈,qín,qin,2
鎘,gé,ge,2
扞,hàn,han,4
裕,yù,yu,4
鳜,jué,jue,2
鿢,鿢,鿢,
贷,dài,dai,4
㳶,gòu,gou,4
頃,qǐng,qing,3
鬽,mèi,mei,4
䆻,qiào,qiao,4
邬,wū,wu,1
蛑,móu,mou,2
啡,fēi,fei,1
尺,chǐ,chi,3
㤰,zǎn,zan,3
渘,róu,rou,2
磳,zēng,zeng,1
䌫,lǎn,lan,3
潆,yíng,ying,2
赴,fù,fu,4
唰,shuā,shua,1
鸄,jí,ji,2
兲,tiān,tian,1
鰜,jiān,jian,1
罍,léi,lei,2
斱,zhuó,zhuo,2
爳,爳,爳,
䰟,hún,hun,2
頲,tǐng,ting,3
昋,gùi,gui,4
啋,xiāo,xiao,1
茯,fú,fu,2
鋰,lǐ,li,3
屇,tián,tian,2
归,gūi,gui,1
蝑,xū,xu,1
馬,mǎ,ma,3
縋,zhùi,zhui,4
欏,luó,luo,2
䢅,chén,chen,2
邃,sùi,sui,4
犭,犭,犭,
莇,zhù,zhu,4
䏱,jú,ju,2
捅,tǒng,tong,3
下,xià,xia,4
鴲,zhī,zhi,1
爹,diē,die,1
㚾,㚾,㚾,
蓏,luǒ,luo,3
磄,táng,tang,2
鬔,péng,peng,2
䆳,qióng,qiong,2
蹐,jí,ji,2
淹,yān,yan,1
妘,yún,yun,2
靰,wù,wu,4
诙,hūi,hui,1
鴯,ér,er,2
䒫,dài,dai,4
儾,nàng,nang,4
炊,chūi,chui,1
晣,zhē,zhe,1
霺,wéi,wei,2
捽,zú,zu,2
籝,yíng,ying,2
滱,kòu,kou,4
栙,xiáng,xiang,2
䮨,zǎi,zai,3
㑜,yì,yi,4
橽,tà,ta,4
磝,áo,ao,2
垏,lù,lu,4
溶,róng,rong,2
揵,qián,qian,2
爘,爘,爘,
㜕,lián,lian,2
㶧,nèn,nen,4
鰢,mǎ,ma,3
畆,mǔ,mu,3
伍,wǔ,wu,3
䐢,zhù,zhu,4
䐋,䐋,䐋,
仙,xiān,xian,1
寒,hán,han,2
鶝,fú,fu,2
䏮,xí,xi,2
镲,chǎ,cha,3
氘,dāo,dao,1
賨,cóng,cong,2
歔,xū,xu,1
䎇,䎇,䎇,
䨑,tí,ti,2
輵,gé,ge,2
臶,jiàn,jian,4
因,yīn,yin,1
㼈,luó,luo,2
貢,gòng,gong,4
掣,chè,che,4
级,jí,ji,2
絀,chù,chu,4
勴,lv̀,lv,4
灨,gǎn,gan,3
鹘,gú,gu,2
㯣,㯣,㯣,
糧,liáng,liang,2
錴,lù,lu,4
凤,fèng,feng,4
垯,垯,垯,
铆,lǐu,liu,3
沐,mù,mu,4
牪,yàn,yan,4
韁,jiāng,jiang,1
岴,qū,qu,1
榒,nài,nai,4
翾,xuān,xuan,1
津,jīn,jin,1
虗,xū,xu,1
㫠,㫠,㫠,
鈠,yì,yi,4
硼,péng,peng,2
缯,zēng,zeng,1
秖,zhī,zhi,1
懥,zhì,zhi,4
揩,kāi,kai,1
伨,xùn,xun,4
渵,máo,mao,2
茾,茾,茾,
晳,xì,xi,4
俼,yù,yu,4
䕴,zhuó,zhuo,2
鑷,niè,nie,4
櫢,sǒu,sou,3
㪧,㪧,㪧,
砗,chē,che,1
䥻,䥻,䥻,
䪀,guǎn,guan,3
䘞,䘞,䘞,
㶡,dài,dai,4
㠢,huà,hua,4
擟,mí,mi,2
觧,jiě,jie,3
鵺,yè,ye,4
揬,tú,tu,2
虲,虲,虲,
刟,jū,ju,1
縍,bāng,bang,1
杶,chūn,chun,1
㾉,líng,ling,2
䍸,bó,bo,2
䓆,zhé,zhe,2
䉐,䉐,䉐,
蘳,huǎ,hua,3
酞,tài,tai,4
缔,dì,di,4
諦,dì,di,4
㹢,㹢,㹢,
螨,mǎn,man,3
锧,zhì,zhi,4
㸼,㸼,㸼,
䦿,䦿,䦿,
貮,èr,er,4
唄,bài,bai,4
䥪,xiǎn,xian,3
䢘,䢘,䢘,
袲,yí,yi,2
製,zhì,zhi,4
檇,zùi,zui,4
蟶,chēng,cheng,1
㣇,nǐ,ni,3
㕫,fǎng,fang,3
橇,qiāo,qiao,1
㣛,tà,ta,4
罠,mín,min,2
月,yuè,yue,4
感,gǎn,gan,3
駑,nú,nu,2
傔,qiàn,qian,4
蝏,tíng,ting,2
羮,gēng,geng,1
聇,zhēng,zheng,1
乢,gài,gai,4
㧸,㧸,㧸,
䝏,lóu,lou,2
鱠,kuài,kuai,4
䪣,䪣,䪣,
濋,chǔ,chu,3
匷,qú,qu,2
鞶,pán,pan,2
詤,huǎng,huang,3
䪜,chàn,chan,4
躓,zhì,zhi,4
傣,dǎi,dai,3
炲,tái,tai,2
毎,měi,mei,3
礘,qì,qi,4
耊,diè,die,4
聽,tīng,ting,1
電,diàn,dian,4
嘟,dū,du,1
贮,zhǔ,zhu,3
錛,bēn,ben,1
熬,áo,ao,2
醦,shǎn,shan,3
溮,shī,shi,1
䇿,䇿,䇿,
㗂,shěng,sheng,3
递,dì,di,4
萃,cùi,cui,4
菕,lún,lun,2
椳,wēi,wei,1
踲,dùn,dun,4
祜,hù,hu,4
舷,xián,xian,2
鹒,gēng,geng,1
釴,yì,yi,4
㥎,lái,lai,2
综,zòng,zong,4
箠,chúi,chui,2
嶱,kě,ke,3
儏,儏,儏,
㓜,yòu,you,4
僁,xī,xi,1
俳,pái,pai,2
逳,yù,yu,4
䡖,jìng,jing,4
櫝,dú,du,2
㔘,chù,chu,4
俋,yì,yi,4
