hanzi,pinyinToneless
㐀,qiu
㐁,tian
㐅,wu
㐆,yin
㐌,yi
㐖,xie
㐜,chou
㐡,nuo
㐤,dan
㐨,xu
㐩,xing
㐫,xiong
㐬,liu
㐭,lin
㐮,xiang
㐯,yong
㐰,xin
㐱,zhen
㐲,dai
㐳,wu
㐴,pan
㐵,ru
㐷,ma
㐸,qian
㐹,yi
㐺,yin
㐻,nei
㐼,cheng
㐽,feng
㑁,zhuo
㑂,fang
㑃,ao
㑄,wu
㑅,zuo
㑇,zhou
㑈,dong
㑉,su
㑊,yi
㑋,qiong
㑌,kuang
㑍,lei
㑎,nao
㑏,zhu
㑐,shu
㑔,xu
㑗,shen
㑘,jie
㑙,die
㑚,nuo
㑛,su
㑜,yi
㑝,long
㑞,ying
㑟,beng
㑣,lan
㑤,miao
㑥,yi
㑦,li
㑧,ji
㑨,yu
㑩,luo
㑪,chai
㑮,hun
㑯,xu
㑰,hui
㑱,rao
㑳,zhou
㑵,han
㑶,xi
㑷,tai
㑹,hui
㑺,jun
㑻,ma
㑼,lue
㑽,tang
㑾,yao
㑿,zhao
㒀,zhai
㒁,yu
㒂,zhuo
㒃,er
㒄,ran
㒅,qi
㒆,chi
㒇,wu
㒈,han
㒉,tang
㒊,se
㒌,qiong
㒍,lei
㒎,sa
㒑,kui
㒒,pu
㒓,ta
㒔,shu
㒕,yang
㒖,ou
㒗,tai
㒙,mian
㒚,yin
㒛,diao
㒜,yu
㒝,mie
㒞,jun
㒟,niao
㒠,xie
㒡,you
㒤,che
㒥,feng
㒦,lei
㒧,li
㒩,luo
㒫,ji
㒰,quan
㒲,cai
㒳,liang
㒴,gu
㒵,mao
㒷,gua
㒸,sui
㒻,mao
㒽,quan
㒾,shi
㒿,li
㓁,wang
㓂,kou
㓃,du
㓄,zhen
㓅,ting
㓈,bing
㓉,huo
㓊,dong
㓋,gong
㓌,cheng
㓎,qin
㓏,jiong
㓐,lu
㓑,xing
㓓,nan
㓔,xie
㓖,bi
㓗,jie
㓘,su
㓚,gong
㓜,you
㓝,xing
㓞,qia
㓟,pi
㓠,dian
㓡,fu
㓢,luo
㓣,qia
㓥,tang
㓦,bai
㓧,gan
㓨,ci
㓩,xuan
㓪,lang
㓭,she
㓯,li
㓰,hua
㓱,tou
㓲,pian
㓳,di
㓴,ruan
㓵,e
㓶,qie
㓷,yi
㓸,zhuo
㓹,rui
㓺,jian
㓼,chi
㓽,chong
㓾,xi
㔀,lue
㔁,deng
㔂,lin
㔃,jue
㔄,su
㔅,xiao
㔆,zan
㔉,zhu
㔊,zhan
㔋,jian
㔌,zou
㔍,chua
㔎,xie
㔏,li
㔑,chi
㔒,xi
㔓,jian
㔕,ji
㔗,fei
㔘,chu
㔙,beng
㔚,jie
㔜,ba
㔝,liang
㔞,kuai
㔠,xia
㔡,bie
㔢,jue
㔣,lei
㔤,xin
㔥,bai
㔦,yang
㔧,lu
㔨,bei
㔩,e
㔪,lu
㔭,che
㔮,nuo
㔯,xuan
㔰,heng
㔱,yu
㔳,gui
㔴,yi
㔵,xuan
㔶,gong
㔷,lou
㔸,ti
㔹,le
㔺,shi
㔼,sun
㔽,yao
㔾,xian
㔿,zou
㕁,que
㕂,yin
㕃,xi
㕄,zhi
㕅,jia
㕆,hu
㕇,la
㕈,yi
㕉,ke
㕊,fu
㕋,qin
㕌,ai
㕎,ke
㕏,chu
㕐,xie
㕑,chu
㕒,wei
㕕,huan
㕖,su
㕗,you
㕙,jun
㕚,zhao
㕛,xu
㕜,shi
㕞,shua
㕟,kui
㕠,shuang
㕡,he
㕢,gai
㕣,yan
㕤,qiu
㕦,hua
㕧,xi
㕩,pang
㕪,dan
㕫,fang
㕭,ao
㕮,fu
㕯,ne
㕰,xue
㕱,you
㕷,hua
㕸,li
㕹,fa
㕺,xiao
㕻,pou
㕽,si
㖀,le
㖁,lin
㖂,yi
㖃,hou
㖅,xu
㖆,qu
㖊,xun
㖏,nie
㖐,wei
㖑,xie
㖒,ti
㖓,hong
㖔,tun
㖕,nie
㖖,nie
㖗,yin
㖘,zhen
㖞,wai
㖟,shou
㖠,nuo
㖢,qi
㖤,han
㖦,dong
㖧,hun
㖨,lu
㖩,ju
㖪,huo
㖫,ling
㖮,lun
㖶,yan
㖷,shi
㖸,xue
㖹,pen
㖺,chun
㖻,niu
㖼,duo
㖽,ze
㖾,e
㖿,xie
㗀,you
㗁,e
㗃,wen
㗄,ku
㗅,hu
㗆,ge
㗇,xia
㗈,man
㗉,lue
㗊,ji
㗋,hou
㗌,zhi
㗒,ai
㗓,zhui
㗔,qian
㗕,gou
㗖,dan
㗗,bei
㗘,bo
㗙,chu
㗚,li
㗛,xiao
㗜,xiu
㗢,hong
㗣,ti
㗤,cu
㗥,kuo
㗦,lao
㗧,zhi
㗨,xie
㗩,xi
㗫,qie
㗬,zha
㗭,xi
