hanziSimplified,hanziTraditional
%,%
A,A
B,B
P,P
Q,Q
T,T
w,w
□,□
□,□
□,□
○,○
⺮,⺮
々,々
〇,〇
〡,〡
〢,〢
〣,〣
〤,〤
〥,〥
〦,〦
〧,〧
〨,〨
〩,〩
〸,〸
〻,〻
㍻,㍻
㍼,㍼
㍽,㍽
㍾,㍾
㐄,㐄
㐅,㐅
㐆,㐆
㐌,㐌
㐖,㐖
㐜,㐜
㐡,㐡
㐤,㐤
㐫,㐫
㐰,㐰
㐺,㐺
㑊,㑊
㑇,㑳
俊,㑺
㒳,㒳
㒸,㒸
罔,㒺
寇,㓂
㔾,㔾
却,㕁
厨,㕑
参,㕘
㕥,㕥
以,㕥
㕯,㕯
㕻,㕻
㗂,㗂
𪢌,㘓
㘎,㘚
坳,㘭
㘵,㘵
㙍,㙍
㙦,㙦
㚻,㚻
㛂,㛂
㛃,㛃
㝄,㝄
㝇,㝇
宿,㝛
冥,㝠
最,㝡
㝵,㝵
㝵,㝵
㞎,㞎
㞗,㞗
㞙,㞙
𪨊,㞞
岸,㟁
㟃,㟃
岛,㠀
㠇,㠇
以,㠯
帆,㠶
帽,㡌
廉,㢘
迥,㢠
㢲,㢲
㢴,㢴
㣟,㣟
㤅,㤅
恩,㤙
㥁,㥁
㥏,㥏
惬,㥦
㤘,㥮
㥯,㥯
㦂,㦂
㧯,㧯
拿,㧱
㨃,㨃
捷,㨗
晃,㨪
据,㨿
㩐,㩐
携,㩗
㨫,㩜
携,㩦
㧐,㩳
㪃,㪃
㪋,㪋
散,㪚
敦,㪟
㫰,㫰
㫺,㫺
暖,㬉
㬎,㬎
㮎,㮎
㮚,㮚
㮸,㮸
橹,㯭
㯳,㯳
饮,㱃
㱾,㱾
㲈,㲈
㲈,㲈
㲋,㲋
㲱,㲱
㲾,㲾
㳂,㳂
涎,㳄
㳇,㳇
法,㳒
㳘,㳘
㳮,㳮
深,㴱
涧,㵎
㵐,㵐
㵪,㵪
㵮,㵮
㶸,㶸
㷖,㷖
㷭,㷭
烨,㷸
㸌,㸌
㹠,㹠
㹢,㹢
㹴,㹴
㺢,㺢
㺵,㺵
㻬,㻬
㻽,㻽
碗,㼝
留,㽞
㽮,㽮
瘪,㿜
㿝,㿝
㿠,㿠
䂖,䂖
䂲,䂲
䂶,䂶
䃉,䃉
䃎,䃎
䅵,䅵
䇲,䇲
筲,䈰
糊,䊀
䍃,䍃
䍹,䍹
䎃,䎃
䒗,䒗
䓬,䓬
䔢,䔢
䕭,䕭
䕭,䕭
䖟,䖟
䖸,䖸
䗈,䗈
䗥,䗥
䗪,䗪
蜂,䗬
䗶,䗶
恤,䘏
脉,䘑
卒,䘚
词,䛐
䛟,䛟
䝓,䝓
獾,䝔
䞓,䞓
䟆,䟆
䟖,䟖
䠀,䠀
趟,䠀
䠞,䠞
射,䠶
䢺,䢺
䤈,䤈
鿏,䥑
镰,䥥
䥯,䥯
䦉,䦉
䦕,䦕
䩦,䩦
䫏,䫏
飒,䬃
䬠,䬠
䬪,䬪
驮,䭾
䯝,䯝
魂,䰟
鲃,䰾
鳚,䲁
䲔,䲔
鳤,䲘
䳗,䳗
鹅,䳘
䳭,䳭
𬸩,䴈
鹮,䴉
麸,䴸
䵹,䵹
衄,䶊
䶑,䶑
一,一
丁,丁
丁,丁
丂,丂
七,七
丄,丄
丅,丅
丆,丆
万,万
丈,丈
三,三
三,三
上,上
上,上
下,下
丌,丌
丌,丌
丌,丌
不,不
丏,丏
丐,丐
丑,丑
丑,丑
丒,丒
且,且
丕,丕
世,世
世,世
丗,丗
丘,丘
丘,丘
丙,丙
丞,丞
丢,丟
丠,丠
両,両
丣,丣
并,並
丨,丨
丨,丨
丩,丩
丫,丫
中,中
中,中
中,中
丮,丮
丰,丰
丱,丱
丱,丱
串,串
丳,丳
丵,丵
丶,丶
丷,丷
丷,丷
丸,丸
丹,丹
