hanziSimplified,tone
%,1
A,
B,1
P,
Q,
T,
w,
□,4
□,1
□,1
○,2
⺮,2
々,5
〇,2
〡,1
〢,4
〣,1
〤,4
〥,3
〦,4
〧,1
〨,1
〩,3
〸,2
〻,5
㍻,5
㍼,5
㍽,5
㍾,5
㐄,4
㐅,3
㐆,3
㐌,1
㐖,2
㐜,2
㐡,4
㐤,2
㐫,1
㐰,4
㐺,4
㑊,4
㑇,4
俊,4
㒳,3
㒸,4
罔,3
寇,4
㔾,2
却,4
厨,2
参,1
㕥,1
以,3
㕯,4
㕻,3
㗂,3
𪢌,2
㘎,3
坳,4
㘵,4
㙍,1
㙦,2
㚻,1
㛂,3
㛃,2
㝄,2
㝇,2
宿,4
冥,2
最,4
㝵,4
㝵,2
㞎,3
㞗,2
㞙,4
𪨊,2
岸,4
㟃,1
岛,3
㠇,4
以,3
帆,1
帽,4
廉,2
迥,3
㢲,4
㢴,1
㣟,4
㤅,4
恩,1
㥁,2
㥏,3
惬,4
㤘,4
㥯,3
㦂,2
㧯,3
拿,2
㨃,3
捷,2
晃,3
据,4
㩐,4
携,2
㨫,3
携,2
㧐,3
㪃,2
㪋,4
散,4
敦,1
㫰,4
㫺,1
暖,3
㬎,3
㮎,1
㮚,4
㮸,4
橹,3
㯳,2
饮,3
㱾,1
㲈,2
㲈,2
㲋,4
㲱,4
㲾,3
㳂,2
涎,2
㳇,4
法,3
㳘,1
㳮,4
深,1
涧,4
㵐,2
㵪,2
㵮,2
㶸,2
㷖,4
㷭,1
烨,4
㸌,4
㹠,2
㹢,1
㹴,1
㺢,4
㺵,3
㻬,2
㻽,2
碗,3
留,2
㽮,1
瘪,3
㿝,1
㿠,4
䂖,2
䂲,3
䂶,2
䃉,2
䃎,4
䅵,2
䇲,4
筲,1
糊,2
䍃,2
䍹,1
䎃,3
䒗,4
䓬,2
䔢,2
䕭,2
䕭,2
䖟,2
䖸,2
䗈,2
䗥,1
䗪,4
蜂,1
䗶,4
恤,4
脉,4
卒,2
词,2
䛟,2
䝓,4
獾,1
䞓,1
䟆,4
䟖,3
䠀,3
趟,1
䠞,4
射,4
䢺,1
䤈,1
鿏,4
镰,2
䥯,4
䦉,4
䦕,1
䩦,2
䫏,1
飒,4
䬠,1
䬪,2
驮,2
䯝,3
魂,2
鲃,1
鳚,4
䲔,1
鳤,3
䳗,2
鹅,2
䳭,2
𬸩,3
鹮,2
麸,1
䵹,1
衄,4
䶑,4
一,1
丁,1
丁,1
丂,3
七,1
丄,4
丅,4
丆,5
万,4
丈,4
三,1
三,1
上,3
上,4
下,4
丌,1
丌,1
丌,2
不,4
丏,3
丐,4
丑,3
丑,3
丒,3
且,3
丕,1
世,4
世,4
丗,4
丘,1
丘,1
丙,3
丞,2
丢,1
丠,1
両,3
丣,3
并,4
丨,3
丨,4
丩,1
丫,1
中,1
中,1
中,4
丮,3
丰,1
丱,4
丱,4
串,4
丳,3
丵,2
丶,3
丷,1
丷,5
丸,2
丹,1
主,3
丼,4
丼,3
丿,3
乀,2
乀,3
乂,4
乃,3
久,3
乆,3
乇,1
乇,2
幺,1
幺,1
乊,5
之,1
乍,4
乎,1
乏,2
乑,4
乒,1
乓,1
乕,3
乖,1
乗,2
乘,2
乘,2
乘,4
乙,3
乙,2
乚,4
乛,2
乜,4
乜,1
九,3
乞,3
也,3
也,3
乢,4
乣,3
乤,5
乥,5
乧,5
乨,3
乩,1
乪,1
乫,5
乭,2
乳,3
乴,2
乶,3
乷,5
乸,3
乾,2
干,1
乺,5
乼,5
乾,2
乾,2
干,1
干,1
乿,4
乿,4
亀,1
乾,2
干,1
乱,4
亃,2
亄,4
亅,2
了,5
了,3
亇,4
予,2
予,3
亊,4
事,4
二,4
亍,4
于,2
于,2
亐,2
云,2
互,4
亓,2
亓,2
五,3
井,3
井,3
亖,4
亘,4
些,1
亜,4
亝,2
斋,1
亚,4
亚,4
亟,2
亟,4
亠,2
亡,2
亢,4
亢,4
交,1
亥,4
亦,4
亨,1
亪,5
享,3
京,1
京,1
亭,2
亮,4
享,3
夜,4
亳,2
亶,3
亶,3
廉,2
亹,2
亹,3
人,2
亻,2
亼,2
亽,2
亽,5
亡,2
什,2
什,2
仁,2
仂,4
仃,1
仄,4
仆,1
仇,2
仇,2
仇,2
仈,1
仉,3
今,1
介,4
仌,1
仍,2
从,2
仏,2
仒,5
仔,3
仔,1
仔,3
仕,4
他,1
仗,4
付,4
付,4
仙,1
仚,1
仝,2
仞,4
仟,1
仡,1
仡,4
代,4
令,2
令,3
令,4
以,3
以,3
仨,1
仫,4
仮,3
仰,3
仰,3
仲,4
仲,4
仳,3
仵,3
仵,3
件,4
任,2
任,4
份,4
仿,3
伀,1
企,3
伄,4
伇,4
伈,3
伉,4
伊,1
伊,1
伋,2
伍,3
伍,3
伎,4
伏,2
伏,2
伐,2
休,1
休,1
伕,1
伙,3
伜,4
伝,2
伝,2
伢,2
伩,4
伭,2
伭,2
伭,2
伯,4
伯,3
伯,2
估,1
估,4
伱,3
伲,3
伲,4
伴,4
伶,2
伸,1
伹,1
伺,4
伺,4
伻,1
似,4
似,4
伽,1
伾,1
似,4
佃,4
佃,2
但,4
伫,4
布,4
佉,1
佌,3
位,4
低,1
住,4
佐,3
佑,4
占,4
何,2
何,2
佗,2
佘,2
余,2
余,2
佚,4
佚,2
佚,4
佛,2
作,1
作,4
佝,1
佝,4
佞,4
佟,2
你,3
佡,1
佢,2
佣,4
佤,3
佧,3
佩,4
佪,2
佫,4
佬,3
佯,2
佰,3
佱,3
佳,1
佳,1
佴,4
并,4
佶,2
佷,3
佸,2
佹,3
佺,2
佻,1
佼,3
佽,4
佽,4
佾,4
使,3
侀,2
侁,1
侂,1
侃,3
侄,2
侅,1
来,2
侇,2
侈,3
侉,3
例,4
侌,1
侍,4
侏,1
侐,4
侑,4
侔,2
仑,2
侗,4
侗,2
侘,4
侚,4
供,1
供,4
侜,1
依,1
価,4
侢,4
侮,3
侯,2
侯,2
侯,4
侴,3
侵,1
侣,3
局,2
侹,3
侽,2
便,4
便,2
俣,3
系,4
促,4
俄,2
俄,2
俅,2
俉,2
俊,4
俊,4
俍,2
俎,3
俏,4
俐,4
俑,3
𠇹,4
伣,4
俗,2
俘,2
俚,3
俚,3
俛,3
俯,3
俜,1
保,3
保,3
俞,2
俞,4
俞,2
俟,2
俟,4
侠,2
信,4
俤,4
修,1
修,1
俯,3
俱,4
效,4
俳,2
俴,4
俵,4
俶,4
俷,4
俸,4
俺,3
备,4
俾,3
伥,1
倂,4
倃,4
倅,4
俩,3
俩,3
仓,1
个,3
个,4
倌,1
倍,4
倏,1
倏,1
们,5
倒,3
倒,4
倓,2
倔,2
倔,4
幸,4
倘,2
倘,3
候,4
倚,3
倜,4
倝,4
倞,4
倞,4
借,4
倡,4
倢,2
仿,3
値,2
倥,1
倥,3
倦,4
倨,4
倩,4
倪,2
倪,2
伦,2
倬,1
倭,1
倮,3
倵,3
倶,4
倷,3
睬,3
倹,3
倻,1
值,2
倽,2
偁,1
偃,3
偃,3
假,1
假,3
假,4
偈,4
偈,2
伟,3
偌,4
偎,1
偏,1
偓,4
偕,2
侃,3
做,4
停,2
偝,4
偟,2
偡,4
偢,3
健,4
偨,1
偩,4
逼,1
偫,4
偭,3
偯,3
偰,4
偱,2
偲,1
偲,1
侧,4
侧,1
侦,1
偶,3
偷,1
偸,1
咱,2
伪,3
傀,1
傀,3
傅,4
傅,4
傈,4
㐷,4
傍,4
傎,1
杰,2
傒,1
傓,1
傔,4
傕,2
傕,2
伧,1
伞,3
备,4
效,4
傜,2
傞,1
家,1
傣,3
催,1
佣,1
傮,1
偬,3
傲,4
传,2
传,4
伛,3
债,4
伤,1
傺,4
傻,3
倾,1
傿,1
傿,4
偻,2
偻,3
僃,4
僄,4
仅,3
僇,4
佥,1
仙,1
働,5
僎,4
像,4
侨,2
僔,3
仆,2
僖,1
僖,1
僚,2
僚,2
僜,4
僝,2
伪,3
僣,4
𫢸,4
侥,3
侥,2
僦,4
僧,1
偾,4
僩,4
僬,1
僭,4
僮,4
僮,2
僯,3
僰,2
雇,4
僳,4
僴,4
僵,1
价,4
价,5
僻,4
僾,4
僿,4
仪,2
俊,4
侬,2
儃,2
亿,4
儅,1
儆,3
儇,1
侩,4
俭,3
儊,4
儋,1
儌,3
儍,3
傤,4
傧,1
儒,2
儓,2
俦,2
侪,2
拟,3
尽,3
儜,2
儞,3
偿,2
儡,3
儤,4
儦,1
儩,4
优,1
儭,4
儱,3
储,3
储,3
儳,4
倏,1
俪,4
㑩,2
儹,3
傩,2
傥,3
俨,3
儽,3
儿,2
兀,4
兀,4
允,3
元,2
元,2
兄,1
充,1
兆,4
兆,4
凶,1
先,1
光,1
克,4
克,4
兑,4
兑,4
免,3
免,4
兔,4
児,2
儿,2
儿,5
兔,4
兕,4
兖,3
兘,3
兙,2
兛,1
兜,1
兝,1
兞,2
兟,1
兜,1
兡,3
兢,1
兣,2
入,4
内,4
全,2
全,2
两,3
兪,2
八,1
公,1
六,4
兮,1
共,4
兲,1
兵,1
其,2
具,4
典,3
兼,1
冀,4
冀,4
冂,1
冃,4
冉,3
円,2
冇,3
冉,3
冉,3
册,4
冋,1
再,4
冏,3
冒,4
冑,4
冒,4
冒,4
冓,4
冔,3
冕,3
冖,4
冗,3
冘,2
冘,2
冞,2
冠,4
冠,1
冠,4
冡,2
冢,3
冣,4
最,4
冤,1
冥,2
冧,2
幂,4
冫,1
冬,1
冮,1
冰,1
冱,4
冶,3
冷,3
冷,3
泯,3
冼,3
冽,4
凃,2
凄,1
凅,4
准,3
凇,1
净,4
凊,4
凋,1
凌,2
凌,2
冻,4
凓,4
凔,1
凛,3
凝,2
凞,1
凟,2
几,1
凡,2
凡,2
凥,1
処,3
凮,1
凰,2
凯,3
凯,3
凳,4
凭,2
凵,3
凶,1
凸,1
凹,1
凹,1
出,1
凼,4
函,2
刀,1
刀,1
刁,1
刁,1
刂,1
刃,4
分,1
分,4
切,1
切,4
刈,4
刊,1
刌,3
刎,3
刑,2
刑,2
划,2
刓,2
刖,4
列,4
刜,2
初,1
刞,4
刡,3
判,4
别,2
别,2
劫,2
劫,2
刨,4
刨,2
利,4
利,4
删,1
刮,1
到,4
刱,1
刱,4
刲,1
刳,1
刴,4
刵,4
制,4
刷,1
刷,4
券,4
刺,1
刺,4
刻,4
劫,2
刾,4
剁,4
剃,4
刭,3
剅,2
则,2
锉,4
削,1
削,1
克,4
克,4
剋,1
剌,2
剌,4
前,2
刹,4
刹,1
创,4
剒,4
剔,1
剕,4
剖,1
刬,3
创,4
剚,4
刚,1
剜,1
剥,1
剥,1
剞,1
剟,1
剡,4
剡,3
剣,4
剤,4
剩,4
剪,3
剪,3
剐,3
副,4
剰,4
割,1
剳,2
札,2
剀,3
创,1
创,4
铲,3
剸,2
戮,4
剺,2
剽,1
剿,1
剿,3
劁,1
劂,2
划,2
划,4
劄,1
札,2
剧,4
劈,1
劈,3
刘,2
刘,2
刽,4
刿,4
剑,4
劐,1
劐,4
剂,4
剑,4
劓,4
劖,2
劘,2
劙,2
力,4
力,4
功,1
加,1
加,1
劣,4
劦,4
劦,2
助,4
努,3
劫,2
劬,2
劭,4
劭,4
劮,4
労,2
券,4
劵,4
效,4
劻,1
劼,2
劾,2
劲,4
劲,4
勃,2
勄,3
敕,4
勇,3
勈,3
勉,3
倦,4
勍,2
勐,3
敕,4
勒,4
勒,1
勔,3
动,4
勖,4
勗,4
勘,1
务,4
勋,1
胜,4
劳,2
募,4
勠,4
势,4
𪟝,4
勤,2
剿,1
剿,3
勧,4
勚,4
勯,1
勰,2
劢,4
勋,1
勋,1
励,4
励,4
勷,2
劝,4
勹,1
勺,2
匀,2
勾,1
勾,1
勾,4
勿,4
匁,5
丐,4
丐,4
包,1
包,1
匆,1
匈,1
匈,1
匉,1
匊,1
匋,2
匍,2
匏,2
匐,2
匑,1
匔,1
匕,3
化,1
化,4
北,3
匘,3
匙,2
匙,5
匚,1
匜,2
匝,1
匞,4
炕,4
匠,4
匡,1
匡,1
匣,2
匧,4
匪,3
匦,3
汇,4
匮,4
匮,4
匮,4
奁,2
奁,2
匴,3
匵,2
匶,4
匸,4
匹,3
匽,3
匾,3
匿,4
区,1
区,1
十,2
卂,4
千,1
卄,4
卅,4
卆,2
升,1
午,3
卉,4
半,4
卋,4
卌,4
卍,4
卐,4
卑,1
卒,4
卒,2
卓,2
卓,2
协,2
南,2
南,1
南,2
単,1
博,2
卛,4
卛,4
卜,3
卜,3
卝,4
卝,4
卞,4
卞,4
卟,3
占,1
占,4
卡,3
卡,3
卣,3
卦,4
卨,4
卩,2
卪,2
卪,5
卬,2
卬,2
卮,1
卯,3
印,4
印,4
危,1
危,1
卲,4
即,2
卵,3
卷,3
卷,4
卸,4
恤,4
却,4
卼,4
卽,2
卿,1
膝,1
厂,3
