phrase,pinyin,english

# Verse 1,,,
🚹半夜睡不著覺,bànyè shuì bùzháo jué,Can’t sleep at midnight
🚹把心情哼成歌,bǎ xīnqíng hēng chéng gē,Hum your feelings into a song
🚹只好到屋頂找另一個夢境,zhǐhǎo dào wūdǐng zhǎo lìng yīgè mèngjìng,Had no choice but to go to the rooftop to find another dream
🚺睡夢中被敲醒,shuì mèngzhōng bèi qiāo xǐng,Woke up from sleep
🚺我還是不確定,wǒ háishì bù quèdìng,I’m still unsure
🚺怎會有動人弦律在對面的屋頂,zěn huì yǒu dòngrén xián lǜ zài duìmiàn de wūdǐng,How can there be such a moving melody on the roof across the road?
🚺我悄悄關上門,wǒ qiāoqiāo guān shàngmén,I quietly closed the door
🚺帶著希望上去,dàizhe xīwàng shàngqù,Go up with hope
🚺原來是我夢裡常出現的那個人,yuánlái shì wǒ mèng lǐ cháng chūxiàn dì nà gèrén,It turns out to be the person who often appears in my dreams.
🚹那個人不就是我夢裡那模糊的人,nà gèrén bù jiùshì wǒ mèng lǐ nà móhú de rén,That person is the blurry figure from my dream.
🚹我們有同樣的默契,wǒmen yǒu tóngyàng de mòqì,We have the same understanding
🚹用天線,yòng tiānxiàn,Using an antenna
🚺用天線,yòng tiānxiàn,Using an antenna
🟧排成愛妳的形狀 Ooh,pái chéng ài nǎi de xíngzhuàng,Arranged in the shape of love for you
# Chorus,,,
🚺在屋頂唱著你的歌,zài wūdǐng chàngzhe nǐ de gē,Singing your songs on the rooftop
🚹在屋頂和我愛的人,zài wūdǐng hé wǒ ài de rén,On the rooftop with my loved ones
🚺讓星星點綴成,ràng xīngxīng diǎnzhuì chéng,Let the stars adorn
🟧最浪漫的夜晚,zuì làngmàn de yèwǎn,The most romantic night
🟧擁抱這時刻,yǒngbào zhè shíkè,Embrace this moment
🟧這一分一秒全都停止,zhè yī fēn yī miǎo quándōu tíngzhǐ,Every second stopped
🚹愛開始糾結,ài kāishǐ jiūjié,Love begins to entangle
🚺在屋頂唱著你的歌,,
🚹在屋頂和我愛的人,,
🚺將泛黃的夜,jiāng fàn huáng de yè,The night turned yellow
🟧獻給最孤獨的月,xiàn gěi zuì gūdú de yuè,Dedicated to the loneliest moon
🟧擁抱這時刻,,
🟧這一分一秒全都停止,,
🚹愛開始糾結,,
🟧夢有你而美,mèng yǒu nǐ ér měi,Dreams are beautiful because of you
# Bridge,,,
# Repeat Verse 1,,,
# Repeat Chorus,,,
🚺讓我愛你是誰,ràng wǒ ài nǐ shì shuí,Who makes me love you?
🚹是我,shì wǒ,It’s me
🚺讓你愛我是誰,ràng nǐ ài wǒ shì shuí,Who makes you love me?
🚹是妳,shì nǐ,It’s you
🚺怎會有,zěn huì yǒu,How could…
🟧動人弦律環繞在我倆的身邊,dòngrén xián lǜ huánrào zài wǒ liǎ de shēnbiān,…such a beautiful melody surround us?
🚺讓我愛你是誰 ,,,
🚹是我,,,
🚺讓你愛我是誰,,, 
🚹是妳,,,
🚺原來是,yuánlái shì,So that's what it was.
🟧這屋頂有美麗的邂逅,zhè wūdǐng yǒu měilì de xièhòu,A beautiful encounter awaits on this rooftop.
🚹在屋頂唱著你的歌,,,
🚹在屋頂和我愛的人,,,





