phrase,english,pinyin
# Verse 1,,,
池塘邊的榕樹上,In the banyan tree by the pond,Chítáng biān de róngshù shàng
知了在聲聲叫著夏天,Cicadas are calling summer loudly,zhīliǎo zài shēngshēng jiàozhe xiàtiān
操場邊的鞦韆上,On the swing next to the playground,cāochǎng biān de qiūqiān shàng
只有蝴蝶停在上面,Only butterflies rest on it,zhǐyǒu húdié tíng zài shàngmiàn
黑板上老師的粉筆,Teacher's chalk on blackboard,Hēibǎn shàng lǎoshī de fěnbǐ
還在拼命嘰嘰喳喳寫個不停,Still chattering away and writing non-stop,hái zài pīnmìng jījichāchā xiě gè bù tíng
等待著下課， 等待著放學,"Waiting for the end of class, waiting for the end of school","děngdàizhuó xiàkè, děngdàizhuó fàngxué"
等待遊戲的童年,The waiting game of childhood,děngdài yóuxì de tóngnián
# Verse 2,,,
福利社里面甚麼都有,The commissary (welfare club) has everything,Fúlì shè lǐmiàn shènme dōu yǒu
就是口袋里沒有半毛錢,I just don’t have half a cent in my pocket,jiùshì kǒudài lǐ méiyǒu bàn máo qián
諸葛四郎和魔鬼黨,Zhuge Shiro and the Devil Party,zhūgé sìláng hé móguǐ dǎng
到底誰搶到那支寶劍?,Who ended up snatching the sword?,dàodǐ shuí qiǎng dào nà zhī bǎojiàn?
隔壁班的那個女孩,The girl in the class next door,Gébì bān dì nàgè nǚhái
怎麼還沒經過我的窗前?,Why haven't you passed my window yet?,zěnme hái méi jīngguò wǒ de chuāng qián?
嘴裡的零食 手裡的漫畫,"Snacks in mouth, comics in hand","Zuǐ lǐ de língshí, shǒu lǐ de mànhuà"
心裡初戀的童年,The first love of childhood in my heart,xīnlǐ chūliàn de tóngnián
# Verse 3,,,
總是要等到睡覺前,Always wait until just before bed,Zǒng shì yào děngdào shuìjiào qián
才知道功課只做了一點點,Only then did I realize that I had only done a little bit of homework,cái zhīdào gōngkè zhǐ zuòle yīdiǎn diǎn
總是要等到考試以後,Always have to wait until after the exam,zǒng shì yào děngdào kǎoshì yǐhòu
才知道該唸的書都沒有唸,Only then did I realize that I should have read the books I didn’t read,cái zhīdào gāi niàn de shū dōu méiyǒu niàn
一寸光陰一寸金,An inch of time is worth an inch in gold,Yīcùn guāngyīn yīcùn jīn
老師說過「寸金難買寸光陰」,"The teacher once said, ""an inch of gold cannot buy an inch of time""",lǎoshī shuōguò “cùn jīn nán mǎi cùn guāngyīn”
一天又一天，一年又一年,"Day after day, year after year","yītiān yòu yītiān, yī nián yòu yī nián"
迷迷糊糊的童年,Confused (blurry) childhood,mímí húhú de tóngnián
# Refrain,,,
# Verse 4,,,
沒有人知道為甚麼,No one knows why,Méiyǒu rén zhīdào wéishènme
太陽總下到山的那一邊,The sun always goes down to the other side of the mountain,tàiyáng zǒng xià dào shān dì nà yībiān
沒有人能夠告訴我,No one can tell me,méiyǒu rén nénggòu gàosù wǒ
山裡面有沒有住著神仙,Do the mountains have gods living inside?,shān lǐmiàn yǒu méiyǒu zhùzhe shénxiān
多少的日子裡,How many days,Duōshǎo de rìzǐ lǐ
總是一個人面對著天空發呆,Always alone facing the sky in a daze,zǒng shì yīgèrén miàn duìzhe tiānkōng fādāi
就這麼好奇，就這麼幻想,"So curious, so imaginative","jiù zhème hàoqí, jiù zhème huànxiǎng"
這麼孤單的童年,Such a lonely childhood,zhème gūdān de tóngnián
# Verse 5,,,
陽光下蜻蜓飛過來,Dragonflies fly by in the sunshine,Yángguāng xià qīngtíng fēi guòlái
一片片綠油油的稻田,Patches of lush green rice patties,yīpiàn piàn lǜyóuyóu de dàotián
水彩蠟筆和萬花筒,"Watercolors, crayons, and kaleidoscopes",shuǐcǎi làbǐ hé wànhuātǒng
畫不出天邊那一條彩虹,I can't draw that rainbow on the horizon,huà bù chū tiānbiān nà yītiáo cǎihóng
甚麼時候才能像高年級的同學,When can I look like my classmates in the upper grades?,Shènme shíhòu cáinéng xiàng gāo niánjí de tóngxué
有張成熟與長大的臉,Have a mature and grown-up face,yǒu zhāng chéngshú yǔ zhǎngdà de liǎn
盼望著假期， 盼望著明天,"Looking forward to vacation, looking forward to tomorrow","pànwàngzhe jiàqī, pànwàngzhe míngtiān"
盼望長大的童年,A childhood of longing to grow up,pànwàng zhǎngdà de tóngnián
哦，一天又一天，一年又一年,"Oh, day after day, year after year","Ó, yītiān yòu yītiān yī nián yòu yī nián"
盼望長大的童年,A childhood longing to grow up,pànwàng zhǎngdà de tóngnián
